,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
94,1186.97,7,2,3,63.03,2,26920.68966,0,0,0.0
95,2098.61,5,2,10,64.35,2,27576.23762,0,0,0.0
96,1284.95,4,2,2,63.68,2,8416.0,1,0,4992.0
97,673.12,7,2,1,74.75,1,9612.068966,0,0,4680.0
98,1064.04,7,2,1,59.95,2,8591.37931,1,1,0.0
99,885.6,7,2,1,62.82,2,4472.413793,1,1,5200.0
100,1583.52,4,2,4,47.28,3,13090.0,0,0,4608.0
101,980.25,1,2,4,70.38,1,12712.0,0,0,5616.0
102,1330.5,2,2,7,62.81,2,30245.0,0,0,0.0
103,2071.89,1,2,10,53.7,3,50938.04348,0,0,5640.0
104,1580.75,1,2,9,57.27,2,46984.0,0,0,0.0
105,661.18,6,2,1,74.74,1,6624.137931,1,0,4590.0
106,1309.75,4,2,7,71.28,1,25524.4898,0,0,5700.0
107,1207.0,6,2,1,52.91,3,10986.2069,1,1,4500.0
108,811.49,6,2,1,73.78,1,7310.344828,0,0,4204.0
109,1315.34,5,2,9,75.11,1,18410.78431,0,0,9384.0
110,2363.06,3,2,10,52.93,3,27830.21978,0,0,6600.0
111,1184.49,2,2,4,72.61,1,11345.77465,0,0,4004.0
112,1448.26,3,2,3,55.38,2,10586.66667,1,0,4264.0
113,1284.49,3,2,6,66.72,2,15140.71429,0,0,5412.0
114,998.94,6,2,7,60.75,2,48463.7931,0,0,4320.0
115,1471.79,3,2,6,70.83,1,11872.77228,0,0,4704.0
116,1658.5,6,2,2,41.53,3,19096.55172,1,1,3432.0
117,1487.49,4,2,2,57.15,2,10314.10256,1,1,4272.0
118,1184.27,6,2,6,59.31,2,38077.58621,0,0,4800.0
119,1192.72,1,2,8,65.05,2,28378.0,0,0,11810.0
120,1626.55,2,2,1,49.53,3,10387.0,1,1,0.0
121,1269.31,7,2,3,56.95,2,19655.17241,1,0,4524.0
122,1079.86,2,2,7,64.8,2,28153.0,0,0,3600.0
123,1497.58,1,2,5,43.92,3,19184.0,0,0,4800.0
124,1124.93,6,2,2,65.94,2,14812.06897,0,0,3600.0
125,1855.71,2,2,4,58.23,2,19747.0,0,0,0.0
126,1122.39,3,2,8,67.43,2,24228.57143,0,0,7500.0
127,1991.87,3,2,9,53.58,3,26745.06173,0,0,8400.0
128,816.86,5,2,6,70.51,1,24973.0,0,0,0.0
129,1312.82,4,2,6,51.11,3,24889.74359,0,0,6500.0
130,1200.42,3,2,7,64.35,2,19357.14286,0,0,6300.0
131,1534.37,2,2,6,53.7,3,25293.0,0,0,0.0
132,596.88,7,2,4,80.34,1,28744.82759,0,0,3380.0
133,1476.34,1,2,7,60.33,2,24671.0,0,0,5232.0
134,669.74,6,2,2,74.84,1,15448.27586,0,0,3888.0
135,703.7,7,2,4,79.81,1,29346.55172,0,0,3484.0
136,1211.85,3,2,7,61.56,2,19429.28571,0,0,5424.0
137,653.4,2,2,7,90.85,1,30862.0,0,0,0.0
138,1620.15,4,2,7,57.57,2,14497.5,0,0,6192.0
139,935.05,6,2,1,69.24,1,4034.482759,1,1,0.0
140,1620.83,2,2,4,53.9,3,19274.0,0,0,0.0
141,1052.6,2,2,1,70.74,1,5058.0,1,1,0.0
142,1130.23,5,2,4,69.85,1,14872.0,0,0,4888.0
143,1626.6,2,2,7,54.56,2,30096.0,0,0,0.0
144,1374.4,2,2,7,61.92,2,32517.0,0,0,0.0
145,1367.36,7,2,3,43.85,3,30337.93103,0,0,0.0
146,1394.66,1,2,7,54.76,2,25979.0,0,0,6000.0
147,1121.76,2,2,2,69.48,1,11656.0,0,0,0.0
148,677.47,1,2,5,80.68,1,20061.0,0,0,4732.0
149,1180.77,2,2,2,55.32,2,14328.0,0,0,0.0
150,960.78,7,2,4,73.72,1,26451.72414,0,0,4056.0
151,750.18,7,2,2,73.06,1,11482.75862,0,0,5317.0
152,1419.41,5,2,8,64.02,2,20678.92157,0,0,0.0
153,862.85,1,2,3,78.19,1,10879.0,0,0,4800.0
154,1161.52,5,2,1,63.24,2,-2537.0,1,1,9412.0
155,1864.62,5,4,3,40.0,3,11063.1838,1,1,6101.8162
156,1012.23,1,4,6,71.86,1,24639.0,0,0,4346.0
157,1504.36,3,4,9,66.14,2,41247.5,0,0,2712.0
158,1722.72,5,4,3,47.63,3,8198.0,1,1,7200.0
159,1590.68,1,4,2,54.51,2,11640.0,1,1,0.0
160,1362.14,3,4,9,71.19,1,24087.74038,0,0,4408.615385
161,1425.87,3,4,6,65.07,2,15821.60494,0,0,3120.0
162,1285.51,1,4,8,63.1,2,31863.0,0,0,4440.0
163,989.54,6,4,3,63.63,2,20725.86207,0,0,4200.0
164,1158.02,7,4,2,57.64,2,19808.62069,0,1,0.0
165,1857.35,3,4,6,60.2,2,19804.28571,0,0,0.0
166,1012.55,2,4,5,64.63,2,21691.0,0,0,2760.0
167,1209.73,7,4,1,54.91,2,18594.82759,1,1,0.0
168,922.94,6,4,3,63.21,2,18306.89655,0,0,4420.0
169,819.11,6,4,2,69.44,1,15563.7931,0,0,3484.0
170,1913.06,3,4,9,58.49,2,32004.28571,0,0,9000.0
171,1456.69,4,4,2,59.5,2,9548.333333,1,1,0.0
172,1517.17,7,4,1,54.86,2,17346.55172,1,1,0.0
173,1237.78,4,4,3,62.59,2,11691.83673,1,0,3640.0
174,666.43,6,4,3,77.68,1,21974.13793,0,0,3924.0
175,2288.44,3,4,9,52.17,3,23826.23762,0,0,0.0
176,686.35,7,4,1,72.76,1,6194.827586,1,0,4056.0
177,1594.02,4,4,5,66.91,2,11362.5,0,0,4692.0
178,1010.91,1,4,3,65.44,2,14170.0,0,0,3360.0
179,1177.83,4,4,2,64.11,2,9403.846154,1,1,4368.0
180,890.62,7,4,3,56.75,2,21575.86207,0,0,3936.0
181,2186.78,4,4,2,15.23,5,10187.17949,1,1,4320.0
182,1165.07,3,4,7,71.7,1,18421.60494,0,0,4836.0
183,1486.66,3,4,5,67.84,2,12190.625,0,0,4368.0
184,1274.1,2,4,4,67.01,2,18265.0,0,0,0.0
185,1685.28,4,4,4,57.92,2,17174.4898,1,0,3692.0
186,1343.67,3,4,5,73.03,1,13108.57143,0,0,3900.0
187,1052.23,7,4,2,65.82,2,15712.06897,1,0,3912.0
188,1031.43,4,4,3,69.4,1,14646.15385,0,0,3744.0
189,955.53,1,4,6,65.99,2,21403.0,0,0,6600.0
190,1790.44,2,4,7,50.66,3,29404.0,0,0,0.0
191,1451.0,2,4,8,58.25,2,39207.0,0,0,0.0
192,1418.09,3,4,5,59.09,2,11920.1087,0,0,911.0
193,1171.59,6,4,3,61.04,2,20329.31034,0,0,3800.0
194,1111.8,6,4,4,56.39,2,24010.34483,0,0,5400.0
195,3022.04,1,4,9,36.29,4,35795.07042,0,0,0.0
196,2604.47,1,4,8,11.47,5,34944.0,0,0,6600.0
197,1356.69,6,4,1,53.65,3,8600.0,1,1,5200.0
198,1294.66,2,4,6,69.51,1,27524.0,0,0,0.0
199,1135.06,4,4,1,62.19,2,6841.025641,0,1,5940.0
200,1200.35,1,4,10,60.17,2,62196.0,0,0,6600.0
201,1779.04,3,4,5,53.33,3,14843.20988,0,0,408.0
202,850.95,7,4,1,71.85,1,4013.793103,1,1,2880.0
203,1620.75,6,4,1,37.04,4,4229.310345,1,1,0.0
204,1200.29,3,4,7,72.05,1,18155.55556,0,0,4812.0
205,2176.07,2,4,9,42.2,3,34939.0,0,0,8400.0
206,1031.92,6,4,1,58.49,2,5268.965517,1,1,4740.0
207,1002.83,7,4,6,64.35,2,31141.37931,0,0,8400.0
208,2191.83,3,4,10,53.74,3,43201.66667,0,0,17880.0
209,703.57,7,4,2,76.13,1,14446.55172,0,0,3450.0
210,1087.3,1,4,4,64.15,2,14147.0,0,0,4300.0
211,1292.86,4,4,4,70.75,1,9742.134648,0,0,4054.1688
212,1005.17,6,4,3,64.78,2,17872.41379,0,0,5460.0
213,1281.11,1,4,7,55.39,2,28438.0,0,0,1056.0
214,1274.18,2,4,4,60.57,2,19946.0,0,0,0.0
215,1182.31,2,4,3,65.54,2,13294.0,0,0,3600.0
216,1221.44,4,4,3,61.35,2,14232.05128,0,0,5940.0
217,1582.84,3,4,9,63.42,2,26998.57143,0,0,6300.0
218,1446.76,1,4,5,66.09,2,13124.64789,0,0,3792.0
219,722.62,6,4,5,73.33,1,33187.93103,0,0,4932.0
220,1373.39,5,5,8,54.5,2,32420.0,0,0,8700.0
221,2124.95,3,5,8,35.01,4,22832.14286,0,0,8700.0
222,925.32,7,5,4,66.3,2,21262.06897,0,0,5512.0
223,2224.91,2,5,7,33.34,4,31800.0,0,0,0.0
224,1168.55,2,5,10,74.83,1,57906.0,0,0,0.0
225,762.4,6,5,2,75.1,1,16310.13412,0,0,4263.122208
