,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
9983,1617.52,2,7,2,59.13,2,5378.0,1,1,8320.0
9984,712.9,7,7,1,77.69,1,12948.27586,0,0,4812.0
9985,469.43,6,7,4,73.16,1,10758.62069,0,0,15600.0
9986,824.66,2,6,8,86.19,1,46558.0,0,0,0.0
9987,788.55,6,2,1,72.23,1,10153.44828,1,0,3825.0
9988,1280.92,4,4,7,69.31,1,18602.74725,0,0,3324.0
9989,1757.28,1,9,10,71.83,1,45260.56338,0,0,744.0
9990,2319.95,3,8,8,73.11,1,0.0,0,0,49080.0
9991,877.51,1,10,3,65.43,2,10718.0,0,0,4160.0
9992,1464.14,3,7,4,58.7,2,14568.33333,0,0,4800.0
9993,3112.28,5,9,6,55.33,2,19893.75,0,0,0.0
9994,771.5,7,5,2,72.37,1,18565.51724,0,0,3276.0
9995,1248.28,2,5,7,73.02,1,39970.0,0,0,0.0
9996,880.81,5,8,8,75.47,1,21224.0,0,0,28800.0
9997,1106.64,4,6,5,70.53,1,21790.81633,0,0,4957.0
9998,709.66,7,7,3,72.67,1,18393.10345,0,0,4800.0
9999,1118.57,6,9,4,66.91,2,17393.10345,0,0,6240.0
10000,1247.22,3,7,6,70.04,1,16658.125,0,0,5820.0
10001,874.02,3,8,4,77.85,1,11525.83333,0,0,6032.0
10002,437.79,7,10,4,85.26,1,39591.37931,0,0,0.0
10003,705.75,7,5,4,79.57,1,33386.2069,0,0,5400.0
10004,1036.36,1,7,8,78.35,1,31972.53521,0,0,0.0
10005,761.5,7,9,1,71.55,1,6220.689655,0,0,5040.0
10006,833.22,7,2,3,69.82,1,24948.27586,0,0,3900.0
10007,1560.25,2,4,6,55.84,2,32321.0,0,0,0.0
10008,3062.58,2,7,4,9.15,5,23298.0,1,1,0.0
10009,1090.9,6,1,1,74.33,1,0.0,1,1,5100.0
10010,1598.62,5,4,2,69.61,1,5664.673913,1,1,0.0
10011,886.88,6,8,7,76.82,1,42191.37931,0,0,13500.0
10012,889.46,7,2,3,69.12,1,23756.89655,0,0,4131.0
10013,1338.98,4,2,2,64.32,2,12019.23077,1,0,6300.0
10014,1082.49,1,4,1,70.28,1,7072.0,1,1,3432.0
10015,886.53,7,9,1,67.22,2,7039.655172,0,0,4800.0
10016,928.81,1,8,9,79.75,1,39534.0,0,0,12000.0
10017,1280.24,3,9,10,68.66,1,44678.57143,0,0,11928.0
10018,1700.07,2,9,8,65.3,2,44615.0,0,0,0.0
