,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
0,990.99,7,8,2,72.61,1,13965.51724,1,0,5460.0
1,2041.3,3,2,5,50.33,3,15926.42857,0,0,0.0
2,892.12,4,5,3,76.23,1,16175.64103,0,0,4464.0
3,1557.41,4,4,7,62.89,2,21010.0,0,0,4056.0
4,1969.23,2,5,9,51.27,3,31640.0,0,0,14400.0
5,1015.95,6,8,2,41.12,3,16200.0,0,0,4440.0
6,1037.45,1,7,7,68.83,1,20830.0,0,0,11400.0
7,756.1,7,2,5,66.25,2,35887.93103,0,0,4628.0
8,1537.21,3,10,9,67.5,2,43321.18211,0,0,3306.581465
9,1607.25,3,10,4,59.13,2,13116.66667,0,0,5304.0
10,961.53,4,5,3,71.64,1,9435.0,0,0,6360.0
11,1049.72,6,9,1,57.56,2,11420.68966,0,0,4200.0
12,1252.04,1,9,2,68.23,2,1679.0,0,0,11400.0
13,1912.04,3,9,6,51.81,3,12120.71429,0,0,10040.0
14,1030.85,5,9,6,67.9,2,20784.0,0,0,5408.0
15,1096.61,7,7,4,58.23,2,27629.31034,0,0,4888.0
16,1907.98,2,7,5,68.09,2,25176.0,0,0,0.0
17,1178.95,5,5,2,67.09,2,9357.0,1,0,3700.0
18,1820.41,2,10,9,43.75,3,44936.0,0,0,0.0
19,1365.85,1,8,5,61.55,2,12375.0,0,0,11040.0
20,1377.91,2,9,5,67.63,2,19033.0,0,0,6227.0
21,2088.11,3,7,4,43.15,3,12450.83333,0,0,6720.0
22,1707.89,3,1,6,58.32,2,14988.125,0,0,5460.0
23,719.83,7,4,3,76.44,1,24862.06897,0,0,3692.0
24,1126.51,7,9,1,58.39,2,15581.03448,1,1,0.0
25,941.28,1,5,9,76.34,1,45732.0,0,0,0.0
26,1686.08,4,9,3,45.74,3,11674.4898,1,0,5700.0
27,1020.88,1,5,6,74.04,1,16866.19718,0,0,4080.0
28,1471.06,3,6,5,72.16,1,11851.25,0,0,4836.0
29,761.51,6,2,1,76.46,1,16687.93103,0,0,0.0
30,1504.64,4,6,3,63.93,2,12625.5102,1,0,4628.0
31,1588.02,3,4,9,52.93,3,28067.5,0,0,15600.0
32,1237.85,1,2,2,55.03,2,5976.0,0,0,7150.0
33,915.36,7,2,5,65.42,2,40737.93103,0,0,0.0
34,910.8,6,6,1,75.62,1,-1.724137931,1,1,4732.0
35,737.03,2,9,8,81.12,1,36421.6,0,0,5067.4
36,1425.33,1,8,9,54.85,2,44139.0,0,0,12012.0
37,1218.01,4,2,4,72.54,1,10412.85714,0,0,5720.0
