,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
2251,1223.38,4,2,4,66.92,2,14932.61538,0,0,4663.384615
2252,958.19,4,7,6,81.35,1,17967.60563,0,0,4316.0
2253,2037.64,2,7,5,30.66,4,25437.0,0,0,0.0
2254,2116.91,5,10,2,32.68,4,6500.0,1,1,6480.0
2255,1125.3,6,2,6,56.51,2,47532.75862,0,0,2100.0
2256,1521.33,2,8,9,64.0,2,38788.02817,0,0,0.0
2257,1355.66,4,9,6,68.53,1,15721.42857,0,0,5044.0
2258,1858.98,3,10,4,50.86,3,10291.97531,0,0,5184.0
2259,878.73,3,8,7,79.18,1,12515.83333,0,0,16800.0
2260,955.13,7,1,2,61.33,2,17015.51724,0,0,3796.0
2261,1692.44,2,6,6,40.29,3,31137.0,0,0,0.0
2262,792.99,7,1,4,72.42,1,25555.17241,0,0,4160.0
2263,735.62,7,5,2,70.34,1,14827.58621,0,0,3900.0
2264,793.64,7,7,5,68.77,1,28444.82759,0,0,6240.0
2265,1675.46,3,6,7,73.42,1,14277.14286,0,0,12000.0
2266,1031.76,1,7,6,66.01,2,23945.0,0,0,6900.0
2267,1238.09,3,8,5,68.78,1,9597.142857,0,0,13200.0
2268,953.61,6,10,4,62.87,2,22277.58621,0,0,8040.0
2269,1223.22,2,7,9,69.86,1,49166.0,0,0,0.0
2270,710.46,1,2,8,74.22,1,33778.0,0,0,5940.0
2271,1148.89,3,7,5,68.41,2,6959.166667,0,0,14340.0
2272,1943.37,4,5,3,47.65,3,10900.0,1,1,5668.0
2273,938.77,1,9,8,69.54,1,34157.0,0,0,11076.0
2274,950.88,2,9,7,67.26,2,30173.0,0,0,5720.0
2275,801.88,6,5,4,60.61,2,32934.48276,0,0,1800.0
2276,1581.26,3,5,7,71.75,1,28636.66667,0,0,0.0
2277,1508.93,3,4,3,60.34,2,9963.96958,0,0,2227.442587
2278,767.36,7,2,2,70.26,1,19468.96552,0,0,3744.0
2279,1069.93,2,9,7,65.68,2,27622.0,0,0,6288.0
2280,1672.54,3,2,6,60.55,2,13788.88889,0,0,4368.0
2281,1754.68,4,7,8,64.63,2,11722.91667,0,0,5760.0
2282,769.08,6,4,2,64.98,2,15258.62069,0,0,3848.0
2283,1666.37,3,9,9,49.05,3,31880.8642,0,0,5400.0
2284,1164.19,3,4,9,73.34,1,43246.66667,0,0,5556.0
2285,781.9,7,9,6,71.96,1,32729.31034,0,0,8580.0
