,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
5611,586.42,6,6,3,76.41,1,20667.24138,0,0,5400.0
5612,1384.53,4,5,5,75.18,1,9398.214286,0,0,5096.0
5613,1102.17,4,9,3,66.27,2,14179.48718,0,0,7800.0
5614,738.61,4,8,6,70.89,1,13743.58974,0,0,17720.0
5615,1376.54,3,10,6,67.4,2,14249.29577,0,0,7680.0
5616,2109.44,5,8,8,49.15,3,15106.38587,0,0,15072.25
5617,1298.82,1,1,9,64.57,2,35065.49296,0,0,6000.0
5618,1134.77,5,9,5,68.62,1,12791.42857,0,0,5668.0
5619,729.98,7,8,2,73.36,1,14467.24138,0,0,5928.0
5620,797.21,2,10,1,77.94,1,11247.0,0,0,0.0
5621,734.16,6,2,2,80.89,1,20197.15517,0,0,2099.65
5622,1048.11,1,9,7,66.07,2,33118.0,0,0,0.0
5623,876.73,1,9,7,62.77,2,28562.0,0,0,7200.0
5624,1243.87,2,1,7,69.01,1,21449.29577,0,0,1440.0
5625,1262.83,3,5,7,76.44,1,13215.76577,0,0,4350.0
5626,791.19,6,2,2,69.65,1,17120.68966,0,0,3744.0
5627,495.99,7,9,2,83.47,1,24451.72414,0,0,0.0
5628,1475.87,7,10,6,44.0,3,41686.2069,0,0,4200.0
5629,882.43,6,1,1,60.85,2,4832.758621,1,1,3456.0
5630,1107.65,7,4,3,63.83,2,17644.82759,0,0,6000.0
5631,679.51,7,4,5,77.0,1,32775.86207,0,0,4160.0
5632,1273.32,6,4,1,40.74,3,5200.0,1,1,3120.0
5633,1107.28,2,2,8,65.05,2,40178.0,0,0,0.0
5634,519.38,7,4,2,79.4,1,19758.62069,0,0,2080.0
5635,1194.65,1,8,10,63.39,2,84585.0,0,0,18000.0
5636,1268.0,5,7,5,53.79,3,14051.40845,0,0,5000.0
5637,1197.17,2,5,3,51.32,3,15680.0,0,0,0.0
5638,989.63,5,7,7,70.27,1,21616.0,0,0,12588.0
5639,961.74,7,9,3,43.52,3,31250.0,0,0,0.0
5640,1036.61,3,5,10,77.55,1,44267.5,0,0,16800.0
5641,1265.2,1,4,6,60.29,2,24655.0,0,0,6600.0
5642,700.28,7,8,2,69.54,1,17031.03448,0,0,5200.0
5643,1016.16,1,2,2,72.33,1,12887.0,0,0,2160.0
5644,888.83,6,9,3,60.69,2,16560.34483,0,0,6162.0
5645,1256.03,3,9,4,77.17,1,5091.25,0,0,13200.0
5646,828.4,2,6,3,64.58,2,12406.0,0,0,4725.0
5647,2089.88,1,9,9,59.29,2,29877.71739,0,0,0.0
5648,916.56,3,1,6,73.22,1,14885.0,0,0,6948.0
5649,805.87,7,1,4,73.0,1,27241.37931,0,0,4680.0
5650,1652.44,3,1,7,71.75,1,13747.85714,0,0,14400.0
5651,993.13,4,10,4,70.2,1,11904.08163,0,0,7800.0
5652,1058.3,3,9,5,75.19,1,11535.71429,0,0,9540.0
5653,1211.29,3,1,7,66.37,2,19852.14286,0,0,4164.0
5654,1214.01,4,2,3,67.42,2,10149.16667,0,0,5044.0
5655,1601.97,2,2,9,54.62,2,45282.0,0,0,4200.0
5656,893.36,2,2,4,69.38,1,17448.0,0,0,3484.0
5657,1070.97,2,5,8,80.11,1,42035.0,0,0,0.0
5658,536.52,4,7,7,91.0,1,18485.91549,0,0,6292.0
5659,1841.13,3,9,10,59.45,2,28783.75,0,0,14220.0
5660,1189.03,2,2,7,61.61,2,34324.0,0,0,0.0
5661,1023.55,1,8,10,66.62,2,60027.0,0,0,8400.0
5662,1037.43,3,10,2,71.68,1,5678.333333,0,0,8400.0
5663,1280.55,3,10,9,76.72,1,28236.95652,0,0,840.0
5664,481.03,6,4,2,75.55,1,16619.40672,0,0,4774.744104
5665,909.66,7,4,1,57.53,2,17417.24138,0,0,0.0
5666,856.34,6,9,1,72.25,1,7774.137931,0,0,6192.0
5667,836.54,7,1,1,44.78,3,17537.93103,0,0,0.0
5668,1083.37,7,9,2,56.83,2,15498.27586,0,0,4956.0
5669,1666.84,7,9,3,42.43,3,28618.96552,0,1,0.0
5670,1107.29,3,9,6,68.09,2,16783.80282,0,0,7188.0
5671,1788.03,1,7,8,48.69,3,3456.0,0,0,36000.0
5672,2467.25,1,9,9,46.44,3,8309.859155,0,0,44400.0
5673,1467.01,3,7,8,42.09,3,25360.83333,0,0,7800.0
5674,903.41,3,5,4,65.14,2,13230.0,0,0,5400.0
5675,1263.0,6,8,10,56.91,2,100000.0,0,0,0.0
5676,1374.85,3,10,9,66.71,2,32535.83333,0,0,7800.0
5677,1161.82,2,7,8,74.82,1,37924.8,0,0,1.2
5678,1941.21,4,8,10,57.65,2,28303.26087,0,0,6136.0
5679,927.98,3,8,9,76.45,1,27625.0,0,0,6480.0
5680,1825.81,3,2,10,67.99,2,27944.69027,0,0,0.0
5681,1033.04,2,2,4,71.63,1,22177.0,0,0,0.0
5682,936.06,7,8,4,46.67,3,26346.55172,0,0,7020.0
5683,1177.92,2,8,10,64.47,2,58839.0,0,0,0.0
5684,1300.11,3,2,6,64.06,2,12179.62963,0,0,8400.0
5685,1866.79,3,10,2,64.47,2,7707.142857,1,1,3864.0
5686,1839.92,4,10,3,43.6,3,14012.82051,1,1,5400.0
5687,1236.42,7,7,4,68.77,1,36882.75862,0,0,0.0
5688,1852.99,1,4,7,34.88,4,29283.0,0,0,6840.0
5689,1371.11,5,8,8,60.48,2,18709.23913,0,0,6540.0
5690,1000.9,4,6,4,68.52,1,20179.48718,0,0,4680.0
5691,1696.2,3,7,9,66.96,2,26847.55556,0,0,5236.4
5692,1047.77,4,2,3,64.97,2,19579.48718,0,0,3240.0
5693,1078.22,4,9,3,69.17,1,16394.87179,0,0,5850.0
5694,804.35,4,7,3,76.13,1,15733.33333,0,0,4608.0
5695,1030.31,3,8,8,76.1,1,482.8571429,0,0,42000.0
5696,1580.26,1,7,10,59.49,2,40814.13043,0,0,9120.0
5697,1716.79,2,10,10,65.08,2,55059.15493,0,0,1200.0
5698,1685.61,1,2,4,35.4,4,13942.0,0,0,6900.0
5699,1521.17,3,7,7,63.24,2,18140.71429,0,0,6960.0
5700,2163.7,3,9,10,54.36,3,44409.38859,0,0,2822.85598
5701,667.01,7,2,2,73.69,1,17898.27586,0,0,5232.0
5702,1228.19,3,9,10,78.56,1,30770.71429,0,0,14400.0
5703,720.03,2,5,7,78.64,1,28371.0,0,0,4400.0
