,Unnamed: 0,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
2814,2814,1484.59,2,5,4,68.76,1,21523.0,0,0,0.0,-0.5405404350889219
2815,2815,1170.75,3,1,5,71.05,1,16855.0,0,0,2508.0,0.8897638784501867
2816,2816,1324.43,4,2,2,65.39,2,9005.128205,1,1,5040.0,-0.07962236026057619
2817,2817,885.51,1,10,4,78.27,1,16383.0,0,0,4784.0,-0.21244165015600705
2818,2818,1111.43,2,7,8,66.41,2,35149.46646,0,0,5166.533539,0.02474453185075009
2819,2819,1149.63,7,6,2,35.88,4,25289.65517,0,0,0.0,0.1508786949336043
2821,2821,2005.23,2,4,10,62.17,2,74965.0,0,0,0.0,-0.044361173825695
2822,2822,818.75,7,6,2,69.43,1,24139.65517,0,0,0.0,0.22341070134850294
2823,2823,1519.33,3,9,9,66.47,2,23562.34568,0,0,8760.0,-0.5038682869844198
2824,2824,1679.2,4,7,6,57.26,2,17718.33333,0,0,6900.0,0.5834364106569344
2826,2826,1394.03,3,10,8,54.68,2,29395.0,0,0,9000.0,0.6877546984493302
2827,2827,1469.25,1,5,4,47.19,3,16804.0,0,0,2520.0,0.9596970493176853
2828,2828,1185.64,4,6,4,74.69,1,11855.0,0,0,5980.0,0.756615237705195
2829,2829,995.76,6,8,1,65.87,2,5477.586207,1,1,4992.0,-0.6968592532472013
2831,2831,1747.31,3,5,7,63.84,2,18603.57143,0,0,4800.0,-0.27793858279534567
2832,2832,1468.21,5,6,4,69.14,1,9594.366197,0,0,4992.0,-1.2605849883868108
2833,2833,1091.49,6,10,2,59.21,2,24568.96552,0,0,0.0,1.0901903123406664
2834,2834,2596.13,1,8,10,47.27,3,69971.83099,0,0,0.0,0.38946013269040003
2835,2835,1051.09,2,2,6,64.73,2,25766.0,0,0,4004.0,0.5944932873590101
2836,2836,1151.81,2,1,7,65.91,2,33116.0,0,0,0.0,-1.565516170565364
2837,2837,988.19,1,5,6,66.14,2,23304.0,0,0,5220.0,1.486340569759673
2838,2838,970.57,1,9,6,79.67,1,20856.0,0,0,8400.0,-1.1171344258052764
2839,2839,1787.29,4,5,5,61.42,2,13289.13043,0,0,6600.0,-2.158959311797491
2840,2840,1298.16,6,5,1,54.41,3,4862.068966,1,1,4108.0,-0.13948021016830006
2842,2842,1413.35,4,8,6,66.47,2,13513.29114,0,0,5460.0,0.5498797567456472
2843,2843,979.23,6,7,6,66.37,2,31350.0,0,0,7800.0,0.07272638904408985
2844,2844,1644.73,4,7,6,58.25,2,13577.85714,0,0,8700.0,1.0215791510389585
2845,2845,1307.55,3,6,5,64.07,2,12455.0,0,0,7500.0,-0.8509298828517623
2846,2846,1749.45,2,7,6,49.6,3,27918.0,0,0,0.0,-0.2836412141009567
2848,2848,665.63,2,7,3,83.64,1,11978.0,0,0,4420.0,-0.7127736179521741
2849,2849,1280.34,1,7,10,59.38,2,58797.0,0,0,13200.0,0.5342390282432778
2850,2850,2040.98,1,9,10,71.74,1,28264.67391,0,0,38400.0,1.310968566379495
2851,2851,2345.47,3,2,7,40.94,3,27393.33333,0,0,0.0,-0.07872214888791816
2852,2852,684.76,7,4,5,70.59,1,36137.93103,0,0,3250.0,-0.09329339230465102
2853,2853,1306.17,1,1,8,66.89,2,30482.0,0,0,6900.0,0.34171441472391945
2854,2854,1190.54,7,9,5,54.61,2,44601.72414,0,0,0.0,1.2285188691602222
2855,2855,1738.35,5,8,7,49.84,3,32757.0,0,0,0.0,0.1471815973005055
2857,2857,816.24,2,9,8,67.73,2,39164.58811,0,0,1239.411888,0.06184520410094724
2858,2858,855.41,6,1,1,70.84,1,6210.344828,1,1,3900.0,0.23209311626127171
2859,2859,1496.65,7,9,2,41.57,3,8874.137931,1,1,7500.0,-1.078689552545298
2860,2860,1296.49,2,7,10,64.62,2,82702.0,0,0,4200.0,-0.5803362136078769
2861,2861,920.3,4,9,4,74.99,1,19933.33333,0,0,4472.0,0.6257447947443555
2862,2862,2448.18,1,7,10,51.42,3,92921.83099,0,0,0.0,-0.24026548723375213
2863,2863,1313.77,2,5,1,64.66,2,10653.0,1,1,0.0,-0.9455223826087414
2864,2864,2342.28,3,5,9,63.14,2,25665.0,0,0,12840.0,1.2424435133878644
2865,2865,868.04,4,7,4,72.98,1,17452.5641,0,0,7072.0,-0.4162673599404747
2866,2866,1738.02,3,9,5,63.87,2,10038.33333,0,0,4784.0,-0.37520478910644667
2867,2867,1278.19,3,4,5,69.02,1,15122.85714,0,0,4056.0,-0.045972305072421955
2868,2868,774.6,1,9,6,77.01,1,20396.0,0,0,8700.0,-1.7233621518695919
2869,2869,1221.99,2,10,8,68.47,2,39765.0,0,0,0.0,-0.1890686643519536
2870,2870,1479.26,3,1,7,72.63,1,12921.78218,0,0,5400.0,0.6548152615028905
2873,2873,1238.08,2,2,5,68.51,1,20960.0,0,0,4590.0,0.18922658018742294
2874,2874,1244.28,4,10,2,64.95,2,10411.53846,1,0,4420.0,-0.9255716322252538
2875,2875,2900.14,2,9,10,41.36,3,100000.0,0,0,0.0,-0.5370545310482862
2876,2876,635.07,6,8,1,74.92,1,7172.413793,0,0,6708.0,-1.4771139706352912
2877,2877,2067.88,2,7,9,46.72,3,30330.28169,0,0,4944.0,-0.38088674646752707
2878,2878,1439.95,2,9,9,60.84,2,56714.0,0,0,0.0,0.7069394222341904
2880,2880,966.81,7,10,2,72.05,1,23558.62069,0,0,0.0,1.0927044234946741
2881,2881,1351.51,3,9,3,67.69,2,5453.571429,1,0,8268.0,-1.1879859831027482
2883,2883,1757.79,5,4,2,59.63,2,2682.854828,1,1,8343.547116,0.061286559741715686
2884,2884,2042.53,7,8,9,49.65,3,87896.55172,0,0,0.0,1.0651558625412745
2885,2885,1544.55,3,9,7,63.27,2,18172.53521,0,0,7500.0,-0.8173869575986271
2886,2886,1274.75,5,8,10,66.19,2,67121.60715,0,0,9176.242848,1.9879106504152848
2887,2887,1399.11,1,4,8,61.96,2,32722.0,0,0,4200.0,0.6224439304864352
2888,2888,788.01,7,7,2,74.95,1,14868.96552,0,0,4160.0,-0.43527263674790945
2889,2889,593.2,6,4,5,77.83,1,31860.34483,0,0,4140.0,-1.1793427990281875
2891,2891,1306.39,2,4,6,61.49,2,26425.0,0,0,0.0,-1.181524828320961
2892,2892,1698.4,3,7,4,58.49,2,10626.42857,1,0,5018.0,1.2681079910914763
2893,2893,1244.44,1,6,7,68.66,1,24616.0,0,0,6120.0,1.6983653637302358
2894,2894,1472.17,3,9,3,75.77,1,5621.568627,1,0,6708.0,0.20003183127094523
2895,2895,1201.24,3,6,5,72.07,1,11997.14286,0,0,7020.0,-0.6517368051153694
2896,2896,2017.11,3,1,3,59.64,2,8716.080247,1,1,4153.95,0.9405494812637372
2897,2897,2030.85,3,8,8,56.0,2,15384.90485,0,0,21441.11419,-0.5336493580210452
2898,2898,1380.47,1,2,8,51.81,3,43815.0,0,0,0.0,1.9925462666608156
2899,2899,1426.91,1,2,5,63.24,2,23080.0,0,0,0.0,0.021544237446227337
2900,2900,818.76,7,7,1,74.78,1,7055.172414,0,0,4750.0,0.650221732172508
2902,2902,3452.08,2,10,9,33.29,4,52651.0,0,0,0.0,1.5862046756849424
2903,2903,1192.12,6,1,1,62.61,2,5022.413793,1,1,4134.0,0.5213836394072519
2905,2905,844.95,7,7,5,67.63,2,42101.72414,0,0,0.0,1.046046752361255
2908,2908,1260.69,7,4,2,42.78,3,24951.72414,0,0,0.0,-0.13262474453614864
2909,2909,1521.53,2,2,6,59.58,2,29647.0,0,0,0.0,-1.0638069648944597
2910,2910,1301.41,1,2,9,63.95,2,30462.67606,0,0,5640.0,-1.9981256977561626
2911,2911,1799.05,3,9,6,47.48,3,15478.39506,0,0,3600.0,1.5671074347013332
2912,2912,733.35,7,9,1,73.79,1,1091.37931,1,1,4628.0,2.020110351658803
2913,2913,1056.23,2,9,3,75.39,1,10340.0,1,0,5100.0,0.38275959117986214
