,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
7396,7396,641.74,6,8,1,76.45,1,4096.551724,1,0,6240.0,-1.8355394901931958
7397,7397,1298.17,7,8,3,59.34,2,17242.09552,0,0,6252.584598,1.261013704964943
7398,7398,1740.61,5,6,8,60.78,2,12525.34722,0,0,5150.0,-1.9757423386881878
7399,7399,1193.95,4,5,5,71.7,1,12676.37363,0,0,4400.0,-1.130992334067365
7400,7400,1511.16,4,2,4,57.82,2,21669.23077,0,0,3732.0,0.41142946759969856
7401,7401,716.35,6,7,2,79.42,1,15620.68966,0,0,3696.0,-0.9412828539872575
7402,7402,734.57,7,5,1,67.99,2,13230.48047,0,0,725.321328,-0.49071074145085736
7403,7403,692.43,7,6,5,75.98,1,44898.27586,0,0,0.0,0.44606438960026934
7404,7404,746.34,7,10,3,76.8,1,25862.06897,0,0,4732.0,0.5602848791706203
7406,7406,897.95,4,7,2,72.95,1,9973.076923,1,0,6168.0,-1.4157690486536003
7407,7407,1378.73,2,5,9,75.36,1,39702.8169,0,0,0.0,-1.0659251397131098
7409,7409,1685.7,7,9,3,35.28,4,23417.24138,0,0,4536.0,-0.5719014822074088
7410,7410,1211.43,3,10,4,72.35,1,8401.428571,0,0,9600.0,1.829494916042241
7411,7411,390.86,7,5,1,89.49,1,11636.2069,0,0,3848.0,0.47270604113410813
7412,7412,958.21,7,4,1,57.3,2,20279.31034,0,0,0.0,0.51904475465556
7414,7414,1044.08,5,8,9,70.98,1,41238.61538,0,0,8191.384615,0.7164224869360292
7415,7415,942.2,6,10,2,65.93,2,25996.55172,0,0,0.0,-0.14536778051377305
7416,7416,895.06,1,2,4,76.8,1,18367.0,0,0,4200.0,0.22327493686971522
7418,7418,484.9,7,7,2,80.11,1,16460.34483,0,0,4800.0,-0.8012633761420772
7419,7419,926.81,6,7,1,65.87,2,13379.31034,1,0,4628.0,0.17835502002978468
7421,7421,941.48,7,2,4,66.52,2,37844.82759,0,0,0.0,0.9777273641303823
7422,7422,1150.16,2,1,4,55.27,2,19226.0,0,0,3692.0,0.16529826012047
7424,7424,1732.96,2,9,4,58.65,2,21978.0,0,0,0.0,0.04739730275158091
7425,7425,1180.5,5,8,10,79.38,1,33218.47826,0,0,29771.0,-0.35935613032673464
7426,7426,1247.04,1,8,10,74.82,1,66220.0,0,0,13440.0,-0.6070956149051415
7427,7427,1437.02,2,6,5,56.94,2,24524.0,0,0,0.0,-1.313184008782927
7428,7428,1323.17,1,5,7,70.07,1,25218.30986,0,0,792.0,-0.8343478023288418
7429,7429,1019.16,3,9,6,67.49,2,20007.5,0,0,7176.0,0.013283190998470801
7430,7430,964.75,2,8,9,70.21,1,48858.0,0,0,0.0,0.8749597909573303
7431,7431,1222.68,3,4,4,66.65,2,9292.142857,0,0,7800.0,1.607343908900779
7433,7433,858.5,1,4,2,74.86,1,8580.0,1,0,6500.0,0.2807887768601091
7434,7434,1146.35,3,9,7,71.36,1,15122.14286,0,0,11784.0,1.2289809644532874
7435,7435,1236.6,4,2,5,71.17,1,6230.0,0,0,14640.0,0.672921381525826
7436,7436,709.8,6,4,1,71.77,1,6051.724138,1,1,3224.0,0.2867694152291085
7437,7437,1002.31,1,1,1,69.47,1,0.0,1,1,7200.0,0.04227888806605613
7438,7438,1491.82,2,4,9,54.23,3,48553.0,0,0,0.0,-0.04515267439372738
7439,7439,1311.94,3,10,8,79.99,1,26673.125,0,0,0.0,-1.7451158181102353
7440,7440,1268.26,7,5,1,64.81,2,17712.06897,1,1,0.0,0.4275609111524105
7443,7443,415.35,6,6,1,70.69,1,0.0,1,1,4680.0,-1.1950439827495813
7444,7444,824.41,6,9,4,68.43,2,16917.24138,0,0,10200.0,-1.4914512668595352
7445,7445,1313.92,3,9,10,62.03,2,47971.66667,0,0,7380.0,-1.77583276609381
7446,7446,1142.83,1,9,7,79.25,1,24733.0,0,0,13800.0,-0.358678114101182
7447,7447,962.78,7,4,3,68.07,2,21324.13793,0,0,4056.0,1.1195000799941084
7448,7448,1270.66,3,2,8,63.19,2,18714.13043,0,0,5580.0,-0.8893612303396515
7449,7449,1010.02,1,10,5,64.57,2,20317.0,0,0,6300.0,0.466535611424165
7452,7452,822.62,1,6,3,75.26,1,13260.0,0,0,5460.0,0.06940406520933229
7453,7453,1110.41,3,2,4,70.05,1,9434.285714,0,0,7260.0,-1.1602576131450613
7454,7454,596.8,6,7,2,73.72,1,16779.31034,0,0,6240.0,-1.3997479194042688
7455,7455,604.79,6,8,1,74.17,1,2868.965517,0,0,8788.0,-0.6117078935962387
7456,7456,758.05,5,5,3,69.93,1,14895.0,0,0,4264.0,-0.5369845967571363
7457,7457,1151.63,5,10,8,56.42,2,35133.0,0,0,8400.0,-0.43335047790756326
7458,7458,1176.76,4,8,3,70.96,1,5518.77494,0,0,8098.584598,1.3770465985648075
7459,7459,720.22,7,8,1,79.55,1,1460.344828,1,1,0.0,0.23133028838543077
7460,7460,935.44,7,5,5,63.8,2,35189.65517,0,0,4320.0,0.45843275831056146
7461,7461,913.15,7,9,1,67.19,2,7700.0,1,0,6136.0,0.5065905322297869
7463,7463,795.73,7,1,1,71.06,1,13848.27586,0,0,3848.0,0.7202482960813869
7464,7464,1249.02,3,7,8,73.63,1,32275.83333,0,0,7680.0,0.976902881145477
7465,7465,1201.81,3,9,10,68.65,1,43295.71429,0,0,9372.0,-0.02897194209557871
7466,7466,790.43,6,4,2,71.8,1,18445.43055,0,0,4178.650279,0.12224045864799568
7467,7467,1001.55,1,8,9,68.15,2,36364.0,0,0,10524.0,-0.4029979632308234
7468,7468,653.36,7,10,3,78.33,1,26837.93103,0,0,3692.0,-0.9431039859884291
7469,7469,1517.87,3,9,10,67.97,2,29883.57143,0,0,19200.0,-0.21286605593440838
7470,7470,2019.17,5,10,5,66.31,2,959.2920354,0,0,22800.0,0.9091156633390218
7471,7471,1651.96,2,2,3,69.66,1,18476.0,0,0,0.0,-0.4384706149924276
7472,7472,1232.14,4,7,5,64.78,2,23807.69231,0,0,5268.0,2.433388141198705
7473,7473,1265.03,4,8,5,63.53,2,14362.67606,0,0,6240.0,-0.08964391399346709
7474,7474,1608.66,3,2,6,67.58,2,11395.625,0,0,10320.0,-0.41014602128017064
7475,7475,1079.94,6,6,1,42.57,3,8555.172414,1,1,5200.0,-0.6280421512246038
7477,7477,810.61,6,2,1,78.47,1,8206.896552,0,0,4080.0,-0.557450147230616
7478,7478,1630.32,7,10,3,54.95,2,30137.93103,0,0,0.0,0.3297396455923846
7479,7479,436.65,6,8,2,81.52,1,18963.7931,0,0,4650.0,1.1194160507977553
7480,7480,1193.81,2,8,5,68.51,1,25761.0,0,0,0.0,1.1833261804392357
7481,7481,1144.96,4,6,1,69.76,1,3478.205128,1,1,4600.0,0.42597704183627394
7483,7483,1024.08,5,10,5,71.98,1,18994.0,0,0,5376.0,0.5419907847172434
7484,7484,846.05,7,9,4,70.88,1,29034.48276,0,0,4680.0,-1.8947439047278871
7485,7485,2131.91,3,2,5,54.42,3,11844.375,0,0,6578.0,0.7909497604949628
7486,7486,1399.83,3,9,7,67.83,2,18604.28571,0,0,10140.0,-0.10671316036319586
7487,7487,2362.42,1,5,5,45.84,3,18914.0,0,0,5880.0,0.380460588047469
7488,7488,1148.16,2,8,8,58.16,2,41722.0,0,0,0.0,1.2185667480595743
7489,7489,1326.71,5,7,6,63.09,2,25192.0,0,0,4264.0,-1.0534836550540336
7490,7490,723.68,7,9,2,77.99,1,22553.44828,0,0,0.0,-0.2759187695438488
7491,7491,865.18,1,9,3,69.48,1,11969.0,0,0,4212.0,-0.31613780448757267
7492,7492,930.3,3,6,6,78.31,1,19545.83333,0,0,6760.0,2.7950591365788626
7494,7494,764.91,5,4,3,83.52,1,15554.89943,0,0,3112.100575,-0.05733321237777043
7495,7495,2301.49,2,9,3,33.15,4,16590.0,1,1,0.0,1.586557457521504
7496,7496,1971.98,2,6,3,55.53,2,5722.535211,0,1,9900.0,0.39554625077562433
7497,7497,1394.8,1,9,8,59.76,2,34400.0,0,0,11280.0,-1.7884627270700901
7500,7500,1766.33,3,2,9,65.61,2,28270.0,0,0,7200.0,-0.8783690485656338
7502,7502,1230.47,1,6,7,61.55,2,31278.0,0,0,6300.0,-1.6674380254899543
7503,7503,819.54,6,4,6,71.61,1,45323.74005,0,0,5769.230769,0.4561063048760349
7504,7504,1504.19,5,4,4,70.18,1,11076.54321,0,0,4320.0,-0.4217625645646591
7505,7505,1300.06,3,8,8,63.95,2,11178.59182,0,0,23319.97145,1.117500543930767
7506,7506,1303.9,6,4,7,66.06,2,61808.81141,0,0,2453.889382,0.6159331257803738
7508,7508,797.84,7,4,3,73.77,1,26918.96552,0,0,3315.0,0.7793844634664978
7509,7509,1657.73,1,10,6,55.92,2,22038.0,0,0,6000.0,0.1799289260274767
7510,7510,2397.26,3,8,6,32.98,4,16614.78873,0,0,5550.0,-0.5239257484831548
7512,7512,1146.96,2,9,2,70.63,1,15986.0,0,0,0.0,-0.570398085646759
7513,7513,879.16,6,2,6,82.55,1,37903.44828,0,0,9000.0,0.6845687381283267
7514,7514,917.96,7,9,2,60.32,2,12700.0,1,0,7800.0,0.41964752988236204
7515,7515,1176.26,3,1,6,69.32,1,20411.66667,0,0,4800.0,-0.3496198850094735
7516,7516,1184.37,1,9,4,67.54,2,23421.0,0,0,0.0,-0.3390229901353015
7517,7517,1002.2,1,4,6,70.85,1,20353.0,0,0,9600.0,0.7492332869702478
7518,7518,813.98,7,7,2,68.11,2,17225.86207,0,0,4050.0,0.663231614070626
7519,7519,905.27,7,6,1,68.66,1,15255.17241,0,1,0.0,0.8816421314090668
7520,7520,3085.44,2,7,6,24.05,4,30853.0,0,1,0.0,-0.42616622775454477
7521,7521,967.88,1,7,2,68.26,2,9271.490475,0,0,4981.509525,0.06301420245574754
7522,7522,1405.57,2,10,9,62.65,2,47022.0,0,0,0.0,-1.2494273491537506
