,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
0,0,1230.82,4,5,5,71.2,1,14944.2029,0,0,4615.0,0.06362820268592463
1,1,1222.34,1,2,8,70.67,1,29989.0,0,0,7680.0,-0.7354970110218173
2,2,797.66,7,4,6,62.14,2,42807.55968,0,0,3544.615385,-1.0653052324812549
3,3,870.35,2,8,6,72.62,1,24322.0,0,0,4000.0,2.317321646242922
4,4,1612.06,7,10,4,42.56,3,35974.13793,0,0,0.0,2.004869722577853
5,5,1000.67,6,2,1,53.15,3,-16100.0,1,1,9000.0,-2.0742232816140667
6,6,1204.84,3,2,8,70.6,1,25780.28169,0,0,1980.0,-0.5477006774130169
7,7,707.59,6,7,2,70.54,1,12717.24138,0,0,5148.0,0.3618295546114976
8,8,1039.67,2,10,5,68.04,2,14458.4507,0,0,4416.0,-0.3257308609908777
9,9,892.81,7,6,7,66.58,2,58324.13793,0,0,0.0,0.17883269227312396
10,10,1140.88,7,7,1,45.09,3,8774.137931,1,1,0.0,1.4754551830167817
11,11,1406.96,1,4,10,66.26,2,52156.33803,0,0,0.0,-1.639407757088582
14,14,1551.21,2,9,10,68.98,1,76296.0,0,0,0.0,-0.028742464352192642
15,15,938.93,5,10,6,65.31,2,23708.0,0,0,4300.0,-0.21542592119491524
16,16,1175.62,4,10,6,76.36,1,20837.7551,0,0,6900.0,-0.8228360505771167
17,17,764.27,7,4,3,72.1,1,25665.51724,0,0,3952.0,-0.48498886288988813
19,19,846.21,6,5,3,62.24,2,25494.82759,0,0,2860.0,2.151370481071816
20,20,1007.3,6,4,3,73.8,1,28153.44828,0,0,0.0,1.304898989073596
21,21,969.55,6,4,2,57.86,2,16150.0,0,0,3927.0,-0.2731665452255651
22,22,1369.68,3,8,10,60.34,2,21775.4902,0,0,15548.0,0.7451485928388738
23,23,661.25,6,7,5,75.93,1,24489.65517,0,0,10740.0,0.6979226211335972
24,24,1018.94,4,8,4,66.3,2,12904.08163,0,0,8008.0,-0.4983119426242065
26,26,1396.63,7,2,2,48.85,3,25232.75862,0,0,0.0,-0.024024912200602593
27,27,1145.04,4,8,4,77.59,1,9589.166667,0,0,8684.0,-0.7304909372874547
28,28,861.58,6,10,4,60.49,2,36696.55172,0,0,0.0,1.23655131214421
