,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1415
8988,15160023557,0,3,0,0,0,37897,1,1,1,39317,37897,1058.33,117.78,531.85,370.24,38.46,1,1,0,0,1,0,8,9,65.01,2,64.44,2,4,1,1,3,7,2,1,1,1,2,5,2,1,1,6,5,2,0,0,0,0,0,3,2718
8989,15160023573,0,3,0,0,5850,21593.10345,0.58,0.67,0.82,12524,18374,808.75,41.39,497.74,233.71,35.91,3,1,0,0,1,0,3,5,71.09,1,63.34,2,2,1,2,2,2,2,1,1,3,2,5,7,3,1,6,5,1,1,1,1,0,0,3,991
8990,15160023578,0,3,0,0,3853.456784,24299.21244,0.58,0.67,0.82,19130,17947,756.27,145.4,275.42,281.07,54.38,1,88,0,0,1,0,3,6,74.9,1,74.27,1,9,0,4,5,9,1,2,2,2,2,-9,7,3,1,7,6,1,0,1,0,0,0,4,1366
8991,15160023590,0,3,0,0,8101.1196,22182.8804,1,1,1,27437,30284,707.75,158.76,360.5,148.84,39.65,1,1,0,0,1,0,6,6,80.18,1,79.59,1,9,1,4,2,6,2,1,1,5,2,1,2,3,1,6,6,2,1,1,0,0,0,4,433
8992,15160023593,0,2,0,0,3120,11206.89655,0.58,0.67,0.82,6500,9620,769.34,122.4,272.33,337.76,36.85,3,3,1,0,1,1,1,2,76.87,1,76.37,1,8,1,3,5,6,3,1,1,2,3,4,6,3,1,5,3,1,1,1,0,0,0,2,923
8993,15160023598,0,2,0,0,5148,7927.857143,1.4,1.4,1.21,15383,16247,964.96,131.94,307.62,475.98,49.42,1,1,0,0,1,0,3,1,77.65,1,77.13,1,7,1,4,2,6,3,1,1,2,2,4,3,1,2,1,3,4,0,1,0,0,0,2,688
8994,15160023599,0,3,0,0,6084,24658.62069,0.58,0.67,0.82,15039,20386,785.02,66.81,361.65,308.49,48.07,2,88,0,0,1,0,4,6,70.97,1,70.28,1,6,0,4,5,8,1,1,3,2,3,-9,7,3,1,7,6,1,1,1,0,0,0,4,975
8995,15160023600,0,4,0,0,0,26513.7931,0.58,0.67,0.82,16253,15378,1212.84,209.27,563.74,404.97,34.86,1,1,0,0,1,1,3,7,51.09,3,50.61,3,10,1,1,3,4,3,1,1,3,2,1,7,1,1,6,5,1,1,0,0,0,0,3,7273
8996,15160023608,0,3,0,0,0,17766,1,1,1,19266,17766,1159.4,171.42,493.28,453.99,40.71,1,1,0,0,1,0,3,4,68.15,2,67.7,2,10,1,1,4,8,3,1,1,2,1,4,2,3,1,6,5,2,0,0,0,0,0,3,2051
8997,15160023613,0,3,0,0,16800,14886,1,1,1,32871,31686,1003.83,136.13,471.09,353.72,42.89,2,2,0,0,0,0,7,3,61.83,2,61.18,2,8,1,2,6,3,1,1,1,3,3,5,1,1,1,5,2,2,0,0,0,0,0,3,2862
8998,15160023619,0,2,0,0,11100,10537.85714,1.4,1.4,1.21,25208,25853,1317.16,231.01,480.98,555.75,49.42,1,1,0,0,1,0,5,2,64.76,2,64.3,2,7,1,2,2,6,3,1,1,2,2,1,3,1,1,1,3,4,0,1,1,0,0,3,901
8999,15160023627,0,4,0,0,6110.953601,19367.32138,0.58,0.67,0.82,18235,17344,1186.84,109.38,737.57,306.62,33.27,1,1,0,0,0,1,3,5,46.92,3,46.45,3,6,1,1,1,3,3,1,1,3,1,3,6,1,1,5,2,1,0,0,0,0,0,3,3050
9000,15160023630,0,3,0,0,5940,27132,1,1,1,34236,33072,1049.3,123.79,454.02,432.63,38.86,1,1,0,0,0,1,7,7,66.69,2,66.28,2,6,1,1,3,5,4,1,1,2,1,5,5,1,1,5,4,2,0,0,0,0,0,3,1255
9001,15160023631,0,4,0,0,13640.52143,65803.47857,1,1,1,82026,79444,1386.46,94.67,620.13,632.27,39.39,1,1,0,0,0,1,10,10,68.18,2,67.91,2,8,1,1,2,3,5,1,1,3,2,4,1,1,1,5,3,2,0,0,0,0,0,3,11641
9002,15160023634,0,4,0,0,10740,32049,1,1,1,44593,42789,1357.98,118,708.28,493.61,38.09,1,1,0,0,0,1,8,8,61.81,2,61.47,2,5,1,2,1,2,5,1,1,1,2,5,1,1,1,5,4,2,0,0,0,0,0,3,1063
9003,15160023641,0,3,0,0,4488,16756.41026,0.78,0.87,1,18411,17558,896.69,133.41,343.33,377.16,42.79,3,3,0,0,1,0,3,4,73.14,1,72.53,1,6,1,1,3,7,2,1,1,5,2,5,4,1,1,3,2,2,0,1,1,0,0,1,1406
9004,15160023643,0,3,0,0,2162,46845,1,1,1,50374,49007,916.35,149.81,358.2,368.69,39.65,1,1,0,0,0,0,9,10,69.94,1,69.39,1,9,1,1,1,9,2,1,1,2,1,1,1,1,1,5,4,2,0,0,0,0,0,3,1663
9005,15160023650,0,4,0,0,9000,29522.14286,1.4,1.4,1.21,51807,50331,1920.15,169.21,1075.86,626.04,49.04,1,1,0,0,1,0,9,7,69.73,1,69.47,1,5,1,1,4,5,5,1,1,2,2,5,3,1,1,2,3,4,0,0,0,0,0,3,1433
9006,15160023654,0,3,0,0,11520,14260,1,1,1,27120,25780,703.46,119.09,190.05,344.89,49.43,1,88,0,0,1,0,5,3,82.54,1,82.01,1,7,0,2,5,9,2,1,3,2,3,-9,4,1,1,3,3,2,0,0,0,0,0,3,1496
9007,15160023660,0,3,0,0,8120,17133.57143,1.4,1.4,1.21,30834,32107,1171.75,212.72,325.03,578.87,55.13,3,3,0,0,1,0,7,4,72.88,1,72.36,1,9,1,4,5,5,3,1,1,2,2,5,3,3,1,2,2,4,0,1,0,0,0,4,2102
9008,15160023662,1,1,217.37,217.37,3600,9781,1,1,1,14144,13381,1453.28,256.09,700.48,455.41,41.3,3,3,1,1,1,0,2,2,50.34,3,49.75,3,5,1,3,4,5,2,1,1,1,2,1,5,3,1,5,4,2,1,1,0,0,0,2,460
9009,15160023670,0,2,0,0,3848,5310.344828,0.58,0.67,0.82,3744,6928,949.66,44.84,481.57,386.01,37.24,2,3,1,1,1,0,1,1,72.38,1,71.83,1,2,1,3,5,4,2,1,1,2,2,5,6,1,1,5,4,1,1,1,0,0,0,2,1201
9010,15160023674,0,2,0,0,0,10718,1,1,1,12259,10718,909.01,120.21,399.05,349.04,40.71,1,1,0,0,1,1,1,2,77.03,1,71.98,1,10,1,1,4,7,4,1,1,2,2,4,2,3,1,6,5,2,0,1,1,0,0,3,2084
9011,15160023678,0,4,0,0,0,47369,1,1,1,48918,47369,1620.65,159.39,926.4,491.92,42.94,2,2,0,0,1,1,9,10,43.15,3,42.78,3,4,1,1,4,2,4,1,1,3,1,3,2,1,1,6,5,2,0,0,0,0,0,3,4115
9012,15160023679,0,4,0,0,12120,34863.04348,1.84,1.66,1.21,78174,76268,1972.71,193.69,809.17,913.87,55.98,2,2,0,0,0,1,10,8,68.95,1,68.7,1,2,1,1,4,4,5,1,1,2,1,4,5,1,1,4,3,4,0,0,0,0,0,3,2407
9013,15160023680,0,4,0,0,0,31289.65517,0.58,0.67,0.82,19488,18148,1643.27,293.52,964.54,333.2,52.01,1,1,0,0,1,1,3,8,31.22,4,30.88,4,7,0,1,3,5,3,2,2,3,2,-9,7,3,1,7,6,1,1,1,0,0,0,3,3001
9014,15160023689,0,3,0,0,4056,21765.51724,0.58,0.67,0.82,12624,16680,830.64,130.12,416.21,231.48,52.83,1,88,0,0,1,0,3,6,58.77,2,57.97,2,5,0,3,5,5,1,1,3,1,3,-9,7,3,1,7,6,1,1,1,0,0,0,2,356
9015,15160023693,0,3,0,0,0,34970.68966,0.58,0.67,0.82,21462,20283,860.57,43.22,468.3,316.18,32.87,1,1,0,0,1,0,4,8,65.61,2,65.03,2,7,1,1,2,6,2,1,1,2,2,5,7,3,1,6,5,1,1,1,0,0,0,3,988
9016,15160023697,0,2,0,0,5096,10710.34483,0.58,0.67,0.82,7704,11308,672.55,38.73,321.99,277.6,34.23,1,1,0,0,1,0,1,2,79.27,1,78.71,1,2,1,4,3,9,2,1,1,2,2,5,6,3,1,5,4,1,1,1,0,0,0,2,980
