,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1718
5391,17180024440,0,4,0,0,3600,27106.41026,1,25586,24743,1211.61,56.57,656.82,459.62,38.6,1,1,0,0,1,0,5,7,52.6,3,49.3,3,6,1,1,3,5,2,1,1,3,1,3,4,1,1,3,4,2,0,1,0,3,5463
5392,17180024441,0,4,0,0,4740,23810.34483,0.82,19355,18550,1961.49,113.46,1372.3,414.02,61.71,1,88,1,1,1,0,3,6,33.85,4,29.42,4,5,0,2,1,2,2,2,2,3,2,-9,7,3,1,6,5,1,1,0,0,3,685
5393,17180024445,0,4,0,0,7440,17940.84507,1.07,34040,32916,1285.4,78.47,538.37,624.41,44.15,1,1,0,0,1,0,7,4,63.07,2,64.57,2,6,1,1,1,5,3,1,1,2,2,3,1,1,2,4,4,3,1,0,0,3,1085
5394,17180024448,0,2,0,0,6600,9877.941176,1.32,28004,26751,1395.43,175.02,427.91,738.16,54.34,1,1,0,0,1,0,5,2,71.29,1,70.98,1,5,1,4,1,4,5,1,1,4,2,5,3,1,1,3,4,5,0,0,0,4,499
5395,17180024452,0,4,0,0,852.7922886,43136.06177,1.07,63636,62106,1454.25,137.98,599,671.63,45.64,1,1,0,0,1,1,10,9,67.41,2,68.01,2,9,1,1,3,4,5,1,1,2,2,4,2,1,1,5,5,3,0,0,0,3,2018
5396,17180024456,0,3,0,0,4045.5288,19226.67448,0.82,12558,15197,884.19,79.5,393.38,377.96,33.35,3,3,0,0,1,0,2,4,70.2,1,70.2,1,1,1,3,5,7,2,1,1,2,3,5,6,3,1,5,3,1,1,0,1,2,815
5397,17180024464,1,1,107.1341463,87.85,0,9394.827586,0.82,6673,5449,1056.61,161.72,476.38,384.65,33.86,1,1,1,1,1,1,1,2,62.88,2,63.98,2,2,1,1,3,5,4,1,1,2,2,4,7,3,1,7,6,1,1,0,1,3,2883
5398,17180024466,0,2,0,0,6671.0748,8856.743951,1.21,15007,21019,1350.17,152.91,535.92,611.83,49.51,3,3,0,0,1,0,4,1,66.82,2,68,2,8,1,3,3,4,4,1,1,2,1,4,5,3,1,2,4,4,1,0,1,2,835
5399,17180024470,0,3,0,0,3564,31065.51724,0.82,22519,21582,688.21,79.17,314.78,261.32,32.94,1,1,0,0,0,0,4,7,66.75,2,66.34,2,7,1,1,5,6,1,1,1,1,3,5,6,1,1,5,4,1,0,0,0,3,711
5400,17180024475,1,1,30.18536585,30.18536585,4400,12367,1,17970,16767,1211.6,101.73,600.61,470.31,38.95,3,3,0,0,1,0,3,2,67.39,2,68.97,1,1,1,3,3,5,3,1,1,2,2,5,1,1,1,5,4,2,1,0,0,4,565
5401,17180024484,0,4,0,0,5040,16856.89655,0.82,15656,14817,1018.89,158.99,443.32,383.2,33.38,3,3,0,0,0,1,2,4,61.99,2,63.75,2,6,1,4,3,5,3,1,1,2,2,1,6,1,1,5,4,1,0,0,0,4,452
5402,17180024486,0,4,0,0,0,24969,1,26844,24969,1290.51,126.74,553.37,570.5,39.9,1,1,0,0,1,1,5,6,68.19,2,68.18,2,9,1,1,4,7,5,1,1,2,2,1,2,3,1,6,6,2,0,0,0,3,4139
5403,17180024492,0,3,0,0,4742.4,20285.51724,0.82,17384,16508,806.44,95.92,332.54,330.88,47.1,1,88,0,0,1,0,3,5,71.61,1,71.61,1,2,0,4,5,8,2,1,3,1,3,-9,7,3,1,6,5,1,1,0,0,4,464
5404,17180024493,0,3,0,0,9000,17697.14286,1.21,34997,33776,1242.44,188.94,460.68,541.44,51.38,1,1,0,0,1,0,7,4,58.76,2,58.76,2,9,1,2,5,6,2,1,1,3,3,1,3,1,1,1,3,4,0,0,0,3,577
5405,17180024498,0,4,0,0,0,24076.12903,1.32,75727,74636,1772.2,232.55,601.25,872.69,65.71,3,3,0,0,1,0,10,6,70.1,1,69.93,1,5,1,1,3,5,5,1,1,1,2,5,5,1,1,4,4,5,1,1,0,3,3218
5406,17180024500,0,3,0,0,0,21899,1,23134,21899,1058.94,106.6,523.34,390.85,38.15,1,1,0,0,1,0,4,5,62.84,2,62.37,2,4,1,1,1,4,2,1,1,1,1,5,2,3,1,6,5,2,1,0,0,3,1876
5407,17180024501,0,3,0,0,2184,19539.375,1.32,34506,33447,1238.87,182.51,369.18,630.67,56.51,3,3,0,0,1,0,7,4,68.21,2,69.68,1,2,1,1,1,4,2,1,1,2,2,5,3,1,1,1,2,5,0,1,0,3,730
5408,17180024513,0,2,0,0,5096,1563.125,1.32,2501,7597,1189.33,180.24,431.81,521.85,55.43,3,3,1,1,1,0,1,1,68.88,1,61.26,2,7,1,4,2,3,3,1,1,3,2,5,3,3,2,1,3,5,1,0,1,2,504
5409,17180024517,0,2,0,0,4628,14650,0.82,9234,13125,803.72,49.16,379.45,341.73,33.38,3,3,0,0,1,0,2,3,67.78,2,68.68,1,6,1,3,3,5,1,1,1,2,2,5,7,3,1,6,5,1,1,0,1,4,832
5410,17180024518,1,1,107.8167708,130.4582927,15136,7871.73913,1.21,23642,29620,1559.97,259.59,652.22,598.63,49.53,1,1,0,0,1,0,6,1,54.49,3,56,2,7,1,2,4,6,4,1,1,2,2,1,3,3,1,4,4,4,1,1,1,1,2068
