,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1617
0,16170010002,0,3,0,0,4615,14944.2029,1.32,20738,25238,1230.82,91.75,396.02,691.53,51.52,1,1,0,0,1,0,5,3,71.2,1,72.31,1,5,1,3,3,5,3,1,1,2,2,5,4,3,1,1,2,5,1,0,1,2,447
1,16170010007,0,4,0,0,7680,29989,1,39926,37669,1222.34,109.57,526.14,549.13,37.5,1,1,0,0,0,1,8,7,70.67,1,71.93,1,2,1,1,4,6,5,1,1,2,2,4,1,1,1,5,3,2,0,0,0,3,3490
2,16170010008,0,3,0,0,3544.615385,42807.55968,0.82,29389,28373,797.66,40.31,409.7,312.2,35.45,2,2,0,0,1,0,6,9,62.14,2,62.94,2,4,1,3,3,6,1,1,1,2,2,5,7,3,1,6,5,1,1,0,0,4,486
3,16170010009,0,3,0,0,4000,24322,1,29396,28322,870.35,114.59,338.27,379.74,37.75,1,1,0,0,1,0,6,6,72.62,1,72.62,1,8,1,4,5,9,3,1,1,2,3,5,2,1,1,6,5,2,1,0,0,4,660
4,16170010010,0,4,0,0,0,35974.13793,0.82,22098,20865,1612.06,120.5,1007.9,450.43,33.23,1,1,0,0,1,1,4,8,42.56,3,42.22,3,10,1,1,4,6,5,1,1,1,1,2,7,3,1,6,5,1,0,0,0,3,1423
5,16170010014,1,1,62.6097561,51.34,9000,-16100,0.82,675,-338,1000.67,84.09,558.24,326.23,32.11,1,1,1,1,1,1,1,1,53.15,3,52.02,3,2,1,1,1,3,3,1,1,1,1,5,6,3,1,5,3,1,1,1,1,3,10427
6,16170010015,0,3,0,0,1980,25780.28169,1.07,40498,38588,1204.84,151.01,408.1,602.83,42.9,1,1,0,0,1,1,8,6,70.6,1,70.6,1,2,1,1,4,9,5,1,1,2,2,1,3,1,1,4,4,3,1,0,0,3,4260
7,16170010021,0,2,0,0,5148,12717.24138,0.82,13422,12524,707.59,95.3,304.02,277.16,31.11,1,1,0,0,0,0,2,2,70.54,1,70.54,1,7,1,4,3,8,2,1,1,2,2,4,6,1,1,5,4,1,0,0,0,4,520
8,16170010035,0,2,0,0,4416,14458.4507,1.07,23546,24947,1039.67,130.09,399,466.19,44.39,1,1,0,0,1,0,5,3,68.04,2,68.04,2,10,1,3,1,5,2,1,1,4,2,5,2,3,1,5,5,3,0,0,1,4,433
9,16170010043,0,3,0,0,0,58324.13793,0.82,35098,33828,892.81,35.66,451.21,374.3,31.64,1,1,0,0,1,1,7,10,66.58,2,68.37,2,6,1,1,4,6,3,1,1,2,2,5,7,3,1,6,5,1,0,0,0,3,2402
10,16170010056,1,1,233.597561,191.55,0,8774.137931,0.82,5878,5089,1140.88,97.48,737.66,274.63,31.11,1,1,1,1,1,0,1,1,45.09,3,45.09,3,7,1,1,4,6,2,1,1,3,1,3,7,2,1,6,5,1,0,1,1,3,2621
11,16170010059,0,4,0,0,0,52156.33803,1.07,75022,74062,1406.96,118.17,672.96,574.06,41.77,1,1,0,0,0,0,10,10,66.26,2,67.14,2,4,1,1,2,4,5,1,1,2,2,5,1,1,1,5,4,3,0,0,0,3,2145
12,16170010060,0,3,0,0,6000,19806.89655,0.82,11488,17488,655.59,117.67,225.06,265.77,47.09,2,88,0,0,1,0,3,5,76.83,1,76.83,1,8,0,2,5,8,1,1,3,1,3,-9,7,3,2,7,6,1,0,1,1,1,2709
13,16170010071,1,1,248.8504878,248.8504878,4233,9489,1,14790,13722,1406.57,116.81,776.51,471.89,41.36,3,3,0,1,0,0,2,2,63.71,2,61.52,2,4,1,3,1,5,4,1,1,3,2,5,5,2,1,4,1,2,0,0,1,4,885
