,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1516
10694,16170032007,0,3,0,0,4264,16887.93103,0.82,9900,14059,787.73,55.93,475.24,221.15,35.41,3,3,0,0,1,0,2,4,75.28,1,68.91,1,4,1,4,2,6,2,1,1,2,2,5,6,3,1,5,4,1,1,1,0,0,0,2,548
10695,16170032008,0,4,0,0,6660,18923.94366,1.07,34837,33532,1478.45,204.41,687.29,539.08,47.67,3,3,0,0,1,0,7,4,56.35,2,55.65,2,9,1,4,3,5,3,1,1,3,2,4,1,1,1,4,4,3,1,0,0,0,0,4,1167
10696,16170032010,0,4,0,0,9612,25533.33333,1.32,63369,61700,1654.58,176.72,673.5,750.68,53.68,1,1,0,0,1,0,10,6,67.88,2,68.57,1,2,1,1,3,5,5,1,1,2,2,5,3,1,1,3,4,5,0,0,0,0,0,3,2226
10697,16170032012,0,4,0,0,0,63088,1,64190,63088,1381.63,176.45,762.37,405.06,37.75,1,1,0,0,1,0,10,10,49.3,3,47.11,3,8,1,1,6,2,3,3,1,3,3,-9,2,1,1,6,5,2,0,0,0,0,0,3,1254
10698,16170032016,0,4,0,0,0,26544.82759,0.82,15396,15396,1102.97,41.44,595.73,430.17,35.63,3,3,0,0,1,1,2,7,60.21,2,63.26,2,6,1,1,3,5,4,1,1,3,2,5,7,3,1,6,5,1,0,0,0,0,0,3,1508
10699,16170032020,0,3,0,0,11932,14511.22449,1.07,21735,26153,1246.62,72.56,519.44,607.03,47.59,3,3,0,0,1,0,5,3,66.17,2,64.81,2,6,1,2,2,2,3,1,1,3,1,5,4,1,2,2,2,3,0,1,1,0,0,1,1895
10700,16170032021,0,2,0,0,3724,9574.358974,1,8187,11192,1062.67,117.72,455.5,447.85,41.6,3,3,1,0,1,0,1,2,67.41,2,68.69,1,1,1,3,5,5,2,1,1,2,3,5,4,2,1,2,4,2,0,1,0,0,0,2,559
10701,16170032022,0,4,0,0,1399.14,19303.0375,1.32,33993,32284,1621.13,113.59,665.39,786.61,55.54,1,1,0,0,1,0,7,5,62.31,2,59.66,2,10,1,2,3,5,4,1,1,3,2,4,3,1,1,2,3,5,0,0,0,0,0,3,600
10702,16170032023,1,1,4.354545455,4.354545455,6531.923077,6713.076923,1,13520,13245,1180.9,68.42,546.11,524.07,42.3,3,3,0,0,0,0,2,1,64.59,2,65.97,2,2,1,4,3,4,2,1,1,2,2,5,5,1,1,5,3,2,0,1,0,0,0,4,389
10703,16170032030,0,4,0,0,0,23428,1,24770,23428,1212.53,153.8,483.31,538.47,36.95,1,1,0,0,1,1,5,6,62.49,2,62.89,2,6,1,1,3,4,5,1,1,2,2,1,2,3,1,6,5,2,0,0,0,0,0,3,1281
10704,16170032034,0,3,0,0,6600,16398,1,19504,22998,920.61,102.49,503.08,276.23,38.81,1,1,0,0,1,0,5,4,69.55,1,71.01,1,10,1,4,1,5,2,1,1,2,2,5,2,3,1,6,5,2,1,1,0,0,0,4,616
10705,16170032043,0,4,0,0,4442.307692,21012.63736,1.21,34856,33860,1497.01,131.74,618.41,695.05,51.81,3,3,0,0,1,0,7,5,61.58,2,61.42,2,5,1,3,1,5,3,1,1,4,1,4,3,1,1,2,3,4,0,0,0,0,0,4,1359
10706,16170032047,0,2,0,0,5447,8572.413793,0.82,11339,10419,873.69,194.15,398.43,250,31.11,1,1,0,0,1,0,1,1,56.3,2,53.53,3,7,1,4,5,4,1,1,1,3,2,1,7,3,1,6,5,1,0,1,0,0,0,2,835
10707,16170032051,0,3,0,0,6000,23417.24138,0.82,14182,19582,713.72,218.7,282.91,161.19,50.92,1,88,0,0,1,0,4,6,76.14,1,70.88,1,7,0,2,5,6,2,2,2,2,3,-9,7,3,1,7,6,1,0,1,1,0,0,1,2084
10708,16170032052,0,2,0,0,3850,10114,1,14082,13964,720.98,67.69,352.37,262.39,38.53,1,3,0,0,1,0,2,2,77.55,1,69.84,1,4,1,3,2,5,1,1,1,3,2,5,5,3,1,5,6,2,1,1,0,0,0,4,853
10709,16170032055,0,2,0,0,14400,-600,1,13800,13800,780.97,111.82,194.46,420.24,54.45,2,2,0,0,0,0,2,1,82.43,1,82.43,1,9,0,2,5,9,3,1,3,5,3,-9,5,3,2,4,1,2,0,0,0,0,0,3,2056
10710,16170032061,0,3,0,0,4576,15635,1.07,24351,23338,1148.74,62.17,460.66,583.01,42.9,1,1,0,0,1,0,5,3,68.43,2,67.31,2,2,1,4,2,2,3,1,1,3,2,5,5,1,1,1,5,3,1,0,0,0,0,4,536
10711,16170032067,0,3,0,0,5616,21677.58621,0.82,12573,18189,417.06,90.35,210.9,72.9,42.91,1,1,0,0,1,0,3,5,83.48,1,73.75,1,9,0,4,5,8,1,1,3,2,2,-9,7,3,1,6,5,1,0,1,0,0,0,4,512
10712,16170032068,0,4,0,0,0,21370,1,23535,21370,1286.15,196.91,500.12,550.31,38.81,1,1,0,0,1,1,4,5,64.13,2,65.79,2,10,1,1,3,6,5,1,1,2,1,4,2,3,1,6,5,2,1,1,0,0,0,3,1355
10713,16170032071,0,3,0,0,0,29269.16667,1.07,36473,35123,972.92,68.99,289.84,571.19,42.9,1,1,0,0,1,0,7,7,72.69,1,72.69,1,2,1,1,3,9,2,1,1,2,2,5,3,1,1,2,3,3,0,0,0,0,0,3,2286
10714,16170032074,0,4,0,0,9000,52593,1,62712,61593,1303.65,56,717.79,493.34,36.52,1,1,0,0,0,0,10,10,59.95,2,59.95,2,4,1,1,2,2,4,1,1,3,2,3,1,1,1,5,2,2,0,0,0,0,0,3,1674
10715,16170032077,0,2,0,0,13042,4501.020408,1.07,11666,17453,1005.51,74.4,424.48,459.02,47.61,2,2,0,0,1,0,3,1,75.95,1,69.53,1,6,1,2,1,8,2,1,1,1,1,5,4,2,1,2,2,3,1,1,1,0,0,1,1607
10716,16170032079,0,3,0,0,4011.538462,19080.1061,0.82,12428,15078,720.77,34.39,458.06,196.21,32.11,1,1,0,0,1,0,2,4,73.12,1,66.8,2,2,1,4,5,5,1,1,1,2,2,5,7,3,1,6,5,1,1,1,0,0,0,2,502
10717,16170032083,0,3,0,0,7200,16662.06897,0.82,18195,16864,886.97,87.16,324.79,439.21,35.81,3,3,0,0,1,1,3,4,73.97,1,73.97,1,8,1,3,2,7,3,1,1,2,2,4,6,1,1,5,2,1,1,0,0,0,0,4,628
10718,16170032084,0,3,0,0,7150,42091.37931,0.82,24413,31563,700.3,71.73,230.32,366.08,32.17,1,1,0,0,1,1,7,9,73.71,1,73.71,1,9,1,3,5,8,3,1,1,1,1,4,7,3,1,7,6,1,0,1,0,0,0,4,940
10719,16170032095,0,3,0,0,0,61116,1,62986,61116,1173.83,106.11,569.35,459.56,38.81,1,1,0,0,1,0,10,10,63.17,2,63.17,2,10,1,1,4,8,3,1,1,1,2,5,2,3,1,6,5,2,0,1,0,0,0,3,3737
10720,16170032103,0,3,0,0,6420,41146,1,48916,47566,1064.56,105.36,496.31,425.39,37.5,1,1,0,0,0,0,9,9,68.33,2,69.53,1,2,1,1,3,4,3,1,1,2,1,5,1,1,1,5,2,2,0,0,0,0,0,3,2589
10721,16170032120,0,3,0,0,0,36500,1.07,53826,51830,1124.9,78.34,397.62,605.97,42.97,1,1,0,0,1,1,9,9,73.41,1,74.92,1,9,1,1,4,6,5,1,1,2,2,4,3,1,1,4,4,3,1,0,0,0,0,3,2812
10722,16170032121,0,2,0,0,4316,10076.66667,1.07,17358,16408,944.17,152.05,379.45,364.29,48.38,3,3,0,0,1,0,3,2,75.73,1,75.81,1,2,1,3,2,4,2,1,1,2,2,5,3,3,2,2,3,3,0,0,0,0,0,4,828
10723,16170032129,0,4,0,0,0,48537,1,50192,48537,1403.46,184.7,763.62,415.99,39.15,1,2,0,0,1,0,9,10,58.07,2,59.26,2,9,1,1,2,5,3,1,1,2,1,2,1,1,1,5,5,2,1,0,0,0,0,3,1266
10724,16170032134,0,3,0,0,4884,21582,1,27728,26466,992.35,61.85,475.12,419.05,36.33,1,1,0,0,1,0,5,5,63.86,2,64.69,2,7,1,3,3,5,2,1,1,2,2,5,2,1,1,6,5,2,1,1,0,0,0,4,364
10725,16170032135,0,4,0,0,0,24523,1,26420,24523,1217.42,143.69,598.21,438.57,36.95,1,1,0,0,1,0,5,6,65.04,2,65.04,2,6,1,1,4,8,4,1,1,1,2,4,2,3,1,7,6,2,0,1,0,0,0,3,5599
