,aacode,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEER,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,dwage9x,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1314
3589,L5151616,0,2,0,0,4940,12598.36957,1.84,1.66,1.21,23181,28121,1444.6,194.17,608.74,587.27,54.42,3,3,0,0,1,0,6,3,59.07,2,59.07,2,8,1,3,5,4,3,1,1,3,1,5,4,1,2,2,3,4,1,1,0,0,0,2,913
3590,L5151626,1,1,6.996448598,7.4862,6240,5607.746479,1.42,1.33,1.07,12888,14203,1362.47,186.8,830.74,296.92,48.01,2,2,1,0,1,0,2,1,48.19,3,41.7,3,8,1,3,5,5,2,1,1,3,1,1,1,3,1,2,4,3,1,1,0,0,0,4,967
3591,L5151627,1,1,73.11,73.11,6000,9516,1,1,1,16608,15516,1339.45,157.22,649.91,489.87,42.45,3,2,0,0,0,0,3,2,61.66,2,61.66,2,8,1,1,5,5,3,1,1,3,3,1,5,1,1,2,3,2,0,0,0,0,0,3,2098
3592,L5151629,0,3,0,0,0,26547,1,1,1,27468,26547,1144.11,103,509.99,489.14,41.98,2,2,0,0,1,0,6,7,68.46,2,68.46,2,8,1,1,1,7,3,1,1,1,2,5,2,3,1,4,6,2,1,1,1,0,0,3,1903
3593,L5151630,0,3,0,0,5200,14972.53521,1.42,1.33,1.07,27689,26461,1176,201.44,457.05,469.17,48.34,3,3,0,0,0,0,6,4,66.61,2,66.61,2,8,1,3,1,8,2,1,1,1,1,3,5,1,2,2,3,3,0,0,0,0,0,4,1201
3594,L5152202,0,3,0,0,21600,43531.42857,1.4,1.4,1.21,84480,82544,1364.72,182.49,573.08,559.06,50.09,1,1,0,0,1,0,10,10,63.9,2,63.9,2,9,1,1,3,5,3,1,1,1,1,5,3,1,1,1,3,4,0,0,0,0,0,3,5372
3595,L5152204,0,3,0,0,6448,16548,1,1,1,16548,22996,910.09,218.83,233.21,397.16,60.89,1,1,0,0,1,0,5,4,69.63,1,69.63,1,9,1,4,5,8,1,1,2,2,3,-9,2,3,1,3,5,2,1,1,0,0,0,4,370
3596,L5152208,0,4,0,0,69600,100000,1,1,1,100000,100000,1529.78,124.4,682.69,683.78,38.91,1,1,0,0,0,1,10,10,79.8,1,79.8,1,9,1,1,4,9,5,1,1,1,2,4,1,1,1,3,4,2,0,0,0,0,0,3,2205
3597,L5152215,0,2,0,0,5876,10220.68966,0.58,0.67,0.82,5928,11804,625.76,90.18,246.32,243.97,45.29,2,88,1,0,1,0,2,2,74.1,1,74.1,1,9,0,4,5,8,1,1,3,1,3,-9,7,3,1,4,5,1,1,1,0,0,0,2,1244
3598,L5152705,0,3,0,0,0,19867.24138,0.58,0.67,0.82,12710,11523,821.86,110.49,462.54,212.96,35.87,2,2,0,0,1,1,2,5,68.25,2,62.58,2,9,1,1,2,4,3,1,1,3,1,5,7,3,1,5,6,1,0,1,0,0,0,3,2779
3599,L5152711,0,3,0,0,7280,13773.33333,1.2,1.2,1.07,16528,23808,1169.31,164.73,449.19,506.53,48.86,3,3,0,0,1,0,5,3,66.49,2,66.49,2,9,1,4,1,5,2,1,1,1,1,5,4,3,1,1,3,3,1,1,0,0,0,2,388
3600,L5152713,0,2,0,0,5200,10539.65517,0.58,0.67,0.82,9664,11313,810.55,99.61,367.98,309.64,33.32,1,1,0,0,1,1,2,2,69.69,1,69.69,1,9,1,4,1,5,3,1,1,1,2,4,7,3,1,4,5,1,0,1,0,0,0,2,2206
3601,L5152716,0,4,0,0,0,22817,1,1,1,25456,22817,1488.44,168.12,746.93,534.48,38.91,1,1,0,0,1,1,5,6,60.16,2,60.16,2,9,1,1,4,6,5,1,1,1,2,1,2,3,1,4,5,2,0,1,0,0,0,3,3668
3602,L5152718,0,4,0,0,0,20754.22535,1.42,1.33,1.07,30658,29471,1503.13,162.83,779.21,516.6,44.49,1,1,0,0,1,0,7,6,57.82,2,57.82,2,9,1,1,2,2,3,1,1,3,2,5,5,3,1,3,6,3,0,1,1,0,0,3,3269
3603,L5152720,0,3,0,0,0,14210.71429,1.4,1.4,1.21,21082,19895,1321.12,205.64,511,554.39,50.09,1,1,0,0,1,0,4,3,60.43,2,60.43,2,9,1,2,5,6,2,1,1,2,2,1,3,1,1,1,2,4,1,1,1,0,0,1,1396
3604,L5152722,0,2,0,0,6000,10087.17949,0.78,0.87,1,8046,13868,1092.38,133.55,465.15,450.96,42.72,3,3,1,0,1,0,2,2,72.63,1,72.63,1,9,1,4,5,5,3,1,1,1,3,5,4,3,1,1,1,2,0,1,0,0,0,2,1081
3605,L5152724,0,4,0,0,13200,29483.33333,1.2,1.2,1.07,50515,48580,1775.98,349.91,794.89,586.69,44.49,1,1,0,0,1,1,9,8,49.55,3,49.55,3,9,1,1,3,5,5,1,1,2,2,1,3,1,1,1,3,3,0,0,0,0,0,3,2037
3606,L5152725,0,4,0,0,0,27344.82759,0.58,0.67,0.82,17575,15860,1313.58,183.2,682.51,414.55,33.32,1,1,0,0,1,1,3,7,65.13,2,65.13,2,9,1,1,4,4,5,1,1,1,2,1,7,1,1,4,5,1,0,0,0,0,0,3,1915
3607,L5152901,0,2,0,0,9072,7288.461538,1.82,1.73,1.32,23540,22337,1188.72,129.09,521.64,482.32,55.67,1,1,0,0,1,0,5,1,81,1,81,1,9,1,1,1,5,4,1,1,1,1,4,3,1,1,1,3,5,0,1,1,0,0,3,2517
3608,L5152902,0,2,0,0,4800,9622,1,1,1,9777,14422,1170.44,161.77,523.37,443.81,41.49,2,3,1,0,1,0,2,2,67.29,2,67.29,2,9,1,4,3,8,3,1,1,2,2,1,4,3,1,1,3,2,0,1,0,0,0,2,334
3609,L5152914,0,2,0,0,4264,6651.282051,0.78,0.87,1,5304,9452,803.4,112.24,200.55,448.73,41.88,2,2,1,0,1,0,1,1,79.07,1,79.07,1,9,1,4,5,9,2,1,1,1,2,5,4,2,1,1,4,2,1,1,0,0,0,4,480
3610,L5152920,0,3,0,0,0,28952,1,1,1,29983,28952,1159.31,95.28,527.22,492.13,44.68,1,1,0,0,1,0,6,8,62.66,2,62.66,2,9,1,1,4,5,2,1,1,2,2,5,2,3,1,4,6,2,1,1,1,0,0,3,3976
3611,L5152925,0,3,0,0,4200,19187.93103,0.58,0.67,0.82,16102,15329,716.03,138.78,253.76,264.4,59.09,3,88,0,0,1,0,3,5,71.44,1,71.44,1,9,0,2,5,7,1,1,2,1,1,-9,7,3,1,5,6,1,0,1,0,0,0,3,1004
3612,L5156703,1,1,31.08682927,25.4912,5564,8441.37931,0.58,0.67,0.82,10951,10460,1063.89,105.55,637,288.02,33.32,1,1,0,1,1,0,1,1,56.32,2,56.32,2,9,1,3,3,5,2,1,1,2,1,4,6,1,1,3,3,1,1,1,0,0,0,4,418
3613,L5156716,0,4,0,0,0,32468,1,1,1,34654,32468,1386.67,128.18,696.62,522.96,38.91,1,1,0,0,1,1,7,8,67.42,2,67.42,2,9,1,1,4,6,5,1,1,2,2,4,2,3,1,4,5,2,0,0,0,0,0,3,2158
3614,L5156721,0,4,0,0,0,27886,1,1,1,29661,27886,1381.55,124.62,784.66,433.36,38.91,1,1,0,0,1,0,6,7,57.38,2,57.38,2,9,1,1,4,5,3,1,1,1,2,5,2,1,1,4,5,2,0,0,0,0,0,3,2122
3615,L5161305,0,4,0,0,68400,43072.53521,1.42,1.33,1.07,100000,100000,2292.09,153.98,1306.12,787.5,44.49,1,1,0,0,1,1,10,9,57.44,2,57.44,2,9,1,2,4,4,5,1,1,2,1,4,3,1,1,1,4,3,0,0,0,0,0,3,1147
3616,L5161306,0,2,0,0,7540,6092.592593,1.62,1.53,1.21,9870,17410,1500.31,194.77,635.12,616.5,53.92,2,2,1,0,1,0,3,1,68.46,2,68.46,2,9,1,3,4,8,4,1,1,2,2,4,4,2,1,1,3,4,0,1,0,0,0,2,1591
3617,L5161307,0,2,0,0,13800,-3748.275862,0.58,0.67,0.82,12814,11626,991.56,221.21,427.75,300.23,42.37,1,88,0,0,1,0,2,1,59.41,2,59.41,2,9,0,2,5,6,2,2,2,1,2,-9,7,3,1,4,5,1,0,0,0,0,0,3,1092
3618,L5161308,0,3,0,0,9000,29337,1,1,1,39393,38337,745,155.82,232.95,317.32,38.91,1,1,0,0,0,0,8,8,69.34,1,69.34,1,9,1,2,5,3,1,1,1,3,3,3,1,1,1,3,2,2,0,0,0,0,0,3,2374
3619,L5161312,0,3,0,0,1820,21527.58621,0.58,0.67,0.82,12486,14306,934.85,111.48,389.39,398.11,35.87,2,2,0,0,1,1,2,6,69.45,1,69.45,1,9,1,4,2,8,3,1,1,1,1,1,7,3,1,5,6,1,0,1,0,0,0,4,824
3620,L5161317,0,4,0,0,24000,69069,1,1,1,96237,93069,1780.01,162.06,963.2,615.84,38.91,1,1,0,0,1,1,10,10,59.74,2,59.74,2,9,1,1,1,9,5,1,1,2,2,1,1,1,1,3,4,2,1,0,0,0,0,3,2597
3621,L5161322,0,3,0,0,0,14691.37931,0.58,0.67,0.82,9580,8521,992.88,100.84,571.63,287.09,33.32,1,1,1,1,0,0,1,3,64.39,2,64.39,2,9,1,1,5,6,2,1,1,2,3,5,6,1,1,3,3,1,0,0,0,0,0,3,3882
3622,L5161324,0,2,0,0,6600,6779.487179,0.78,0.87,1,12947,11888,918.4,133.93,443.57,301.99,38.91,1,1,0,0,1,0,2,1,67.2,2,67.2,2,9,1,2,5,5,2,1,1,2,1,5,4,1,1,1,2,2,0,1,0,0,0,1,496
3623,L5164205,0,2,0,0,5460,13192.85714,1.4,1.4,1.21,25058,23930,1133,207.69,344.12,526.19,55,3,3,0,0,1,0,5,3,71.38,1,71.38,1,9,1,4,5,6,2,1,1,1,3,5,3,1,1,1,2,4,0,0,0,0,0,4,344
3624,L5164210,0,4,0,0,3900,41082,1,1,1,46300,44982,1317.99,102.13,666.83,488.14,60.89,1,88,0,0,1,0,9,9,51.32,3,51.32,3,9,0,4,3,5,2,1,2,1,2,-9,1,1,1,3,5,2,0,0,0,0,0,4,383
3625,L5164223,0,3,0,0,5720,15084.48276,0.58,0.67,0.82,15194,14469,679.69,110.98,259.55,275.84,33.32,1,1,0,0,1,0,2,4,70.17,1,70.17,1,9,1,4,5,5,1,1,1,1,3,5,6,1,1,3,3,1,1,0,0,0,0,4,486
3626,L5164224,0,3,0,0,8008,17585.80247,1.62,1.53,1.21,28489,36497,1095.13,108.35,323.74,612.95,50.09,1,1,0,0,1,0,8,4,73.8,1,73.8,1,9,1,4,5,5,3,1,1,1,3,5,3,3,1,1,5,4,1,1,0,0,0,2,696
3627,L5164226,0,3,0,0,7878,22349,1,1,1,31516,30227,1212.88,99.64,562.58,507.94,42.72,3,3,0,0,0,0,7,6,64.4,2,64.4,2,9,1,4,1,5,3,1,1,1,2,4,5,1,1,2,4,2,0,0,0,0,0,4,383
3628,L5165302,0,2,0,0,6344,5288.028169,1.42,1.33,1.07,14820,13853,1035.49,239.07,298.34,449.22,48.86,3,3,0,0,1,0,2,1,66.38,2,66.38,2,9,1,4,2,6,2,1,1,1,2,1,1,3,1,3,5,3,0,1,0,0,0,2,951
3629,L5165303,0,3,0,0,14400,32840.71429,1.4,1.4,1.21,62472,60377,1366.02,191.29,422.65,701.99,50.09,1,1,0,0,1,0,10,8,76.57,1,76.57,1,9,1,1,4,9,5,1,1,1,2,4,3,1,1,1,4,4,0,0,0,0,0,3,4751
3630,L5165306,0,4,0,0,14400,23635,1.4,1.4,1.21,49584,47489,2633.54,270.12,1568.57,744.76,50.09,1,1,0,0,1,0,9,6,46.68,3,46.68,3,9,1,1,4,4,5,1,1,2,2,1,3,1,1,1,4,4,0,0,0,0,0,3,5604
3631,L5165314,0,2,0,0,4160,9515.517241,0.58,0.67,0.82,10520,9679,851.18,100.59,436.94,280.33,33.32,1,1,0,0,1,0,1,2,64.65,2,64.65,2,9,1,3,5,6,1,1,1,2,3,5,7,3,1,5,6,1,1,1,0,0,0,2,547
3632,L5165316,0,4,0,0,24000,59314.16667,1.2,1.2,1.07,97594,95177,1660.17,308.41,609.48,697.79,44.49,1,88,0,0,1,1,10,10,65.38,2,65.38,2,9,1,1,4,9,5,1,3,1,2,1,3,1,1,1,3,3,0,0,0,0,0,3,4740
3633,L5165318,0,4,0,0,0,32226,1,1,1,34310,32226,2032.1,197.73,1245.26,550.2,38.91,1,1,0,0,1,1,7,8,39.61,3,39.62,3,9,1,1,3,1,5,1,1,3,1,1,2,3,1,5,6,2,0,1,0,0,0,3,2908
3634,L5165323,0,4,0,0,7200,18041.84783,1.84,1.66,1.21,41770,40397,1915.95,318.03,908.42,621.57,67.93,2,88,0,0,0,0,8,5,47.26,3,47.26,3,9,0,1,3,2,3,1,3,2,2,1,1,1,1,2,4,4,0,0,0,0,0,3,2799
3635,L5167403,0,3,0,0,6000,27439.65517,0.58,0.67,0.82,22731,21915,588.79,102.64,189.1,263.73,33.32,1,1,0,0,1,0,5,7,76.96,1,76.96,1,9,1,2,5,8,1,1,1,2,3,5,6,1,1,3,3,1,1,0,0,0,0,3,1878
3636,L5167405,0,3,0,0,8400,27582.5,1.2,1.2,1.07,42742,41499,999.16,374.93,200.6,379.14,44.49,1,1,0,0,1,0,8,7,61.37,2,61.37,2,9,1,2,5,9,1,1,1,1,1,1,3,1,1,1,2,3,0,0,0,0,0,3,1532
3637,L5167413,1,1,18.72818182,24.7212,12350,6337.128713,2.02,1.93,1.32,26394,25151,1696.29,300.8,594.08,705.73,95.68,1,1,0,0,1,0,6,1,39.43,3,39.43,3,9,0,2,5,8,2,2,2,3,3,-9,3,1,1,1,2,5,0,0,0,0,0,3,1791
3638,L5167418,0,3,0,0,7592,16514.67391,1.84,1.66,1.21,39378,37979,1035.66,158.84,256.78,569.95,50.09,1,1,0,0,0,0,8,4,77.31,1,77.31,1,9,1,4,1,9,3,1,1,1,2,4,3,1,2,2,4,4,0,0,0,0,0,4,775
3639,L5167421,0,2,0,0,6240,11974.4898,0.98,1.07,1.07,11892,17975,1110.91,223.77,373.1,465.18,48.86,3,3,0,0,1,0,4,3,68.86,1,68.86,1,9,1,4,3,9,2,1,1,3,1,1,4,1,1,1,3,3,1,1,0,0,0,2,335
3640,L5167422,0,2,0,0,11400,9443,1,1,1,22242,20843,844.2,143.02,315.42,343.04,42.72,3,3,0,0,0,0,4,2,70.83,1,70.83,1,9,1,2,3,9,1,1,1,2,2,5,1,1,2,3,4,2,0,0,0,0,0,3,2193
3641,L5167425,0,4,0,0,12000,15094.02174,1.84,1.66,1.21,29016,39773,1608.5,220.61,741.43,596.37,50.09,1,1,0,0,1,0,8,4,61.86,2,61.86,2,9,1,2,1,8,4,1,1,2,1,3,2,3,1,3,5,4,0,1,1,0,0,3,442
3642,L5168001,0,3,0,0,0,30527.58621,0.58,0.67,0.82,18621,17706,895.66,104.02,416.11,342.21,33.32,1,1,0,0,1,1,4,8,67.55,2,67.55,2,9,1,1,2,6,3,1,1,2,2,5,7,1,1,4,5,1,0,0,0,0,0,3,1078
3643,L5168003,0,3,0,0,9600,38528,1,1,1,49501,48128,886.57,127.21,327.56,392.89,38.91,1,1,0,0,0,0,9,9,72.71,1,72.71,1,9,1,1,2,9,3,1,1,1,2,5,1,1,1,3,4,2,0,0,0,0,0,3,1729
3644,L5168011,0,3,0,0,5538.461538,17869.53846,1,1,1,19866,23408,948.89,121.49,372.85,415.64,38.91,1,1,0,0,1,0,5,5,74.85,1,74.85,1,9,1,4,2,7,3,1,1,3,1,4,2,3,1,4,5,2,1,1,0,0,0,4,346
3645,L5168015,0,4,0,0,0,26700,0.58,0.67,0.82,16401,15486,1056.26,174.85,472.63,372.91,35.87,2,2,0,0,1,1,3,7,66.42,2,66.42,2,9,1,1,2,6,4,1,1,1,2,1,7,1,1,4,5,1,0,0,0,0,0,3,2641
3646,L5168022,0,3,0,0,6600,21056.89655,0.58,0.67,0.82,19614,18813,761.24,117.94,347.98,259.45,35.87,2,2,0,0,0,0,4,6,66.7,2,66.7,2,9,1,2,1,7,1,1,1,2,1,5,6,1,1,3,2,1,0,0,0,0,0,3,784
3647,L5168028,0,3,0,0,9108,33406.89655,0.58,0.67,0.82,29514,28484,930.65,129.38,456.57,311.38,33.32,1,1,0,0,0,1,6,8,57.67,2,57.67,2,9,1,1,4,7,3,1,1,1,1,1,6,1,1,3,3,1,0,0,0,0,0,3,7318
3648,L5168106,0,2,0,0,5800,13185,1,1,1,14931,18985,1087.53,127.46,505.3,415.86,38.91,1,1,0,0,1,0,4,3,69.44,1,69.44,1,9,1,4,2,6,3,1,1,2,2,4,2,3,1,4,6,2,0,1,0,0,0,4,372
3649,L5168107,0,3,0,0,9600,15336,1,1,1,26309,24936,893.56,132.81,321.43,400.41,38.91,1,1,0,0,0,0,6,4,73.71,1,73.71,1,9,1,1,3,9,3,1,1,1,2,4,1,1,1,3,2,2,0,0,0,0,0,3,2861
3650,L5168118,0,4,0,0,5538.461538,24662.99735,0.58,0.67,0.82,20758,19843,1161.22,119.76,662.47,326.8,52.19,1,88,0,0,1,0,4,7,51.91,3,51.91,3,9,0,4,5,7,2,1,2,2,2,-9,7,1,1,4,5,1,0,1,0,0,0,4,822
3651,L5168121,0,2,0,0,5980,11373.52941,2.04,1.86,1.32,23202,29182,1444.59,209.34,481.22,692.9,61.13,3,3,0,0,1,0,6,2,66.41,2,66.41,2,9,1,4,2,6,3,1,1,1,1,4,3,3,2,1,4,5,1,1,0,0,0,2,475
3652,L5168122,0,3,0,0,5668,15144,1,1,1,15144,20812,778.52,128.17,338.85,272.59,38.91,1,1,0,0,1,0,4,4,80.05,1,74.71,1,9,1,4,2,9,3,1,1,2,2,4,5,3,1,3,5,2,1,1,0,0,0,2,424
3653,L5168123,1,1,29.3795122,24.0912,6000,12134.48276,0.58,0.67,0.82,13839,13038,1062.49,237.41,466.62,321.88,36.58,3,3,0,0,0,0,2,3,59.66,2,59.66,2,9,1,4,5,6,2,1,1,1,3,2,6,1,1,3,4,1,0,0,0,0,0,4,920
3654,L5168124,0,3,0,0,9540,28635,1,1,1,39243,38175,1207.81,144.22,594.67,430.01,38.91,1,1,0,0,0,0,8,8,62.66,2,62.66,2,9,1,2,2,7,3,1,1,2,1,4,1,1,1,3,2,2,0,0,0,0,0,3,568
